pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Señala cuál de las siguientes es una característica del OSL aprovechables en la educación:;Personalización del proceso de aprendizaje.;Evaluación transversal.;Seguimiento y sindicación de contenidos.;Todas las respuestas son correctas.;4
La construcción de nuevas narrativas, la hibridación de nuevos y viejos lenguajes en el contexto digital se suele conocer por el nombre de:;Gamificación.;Storytelling o narrativa App.;Realidad aumentada.;Geolocalización.;2
La tecnología capaz de añadir información virtual a la información física existente, conectando las dos realidades se conoce por el nombre de:;Gamificación.;Storytelling o narrativa App.;Realidad aumentada.;Geolocalización.;3
Para poder ejecutar aplicaciones de realidad aumentada nuestro dispositivo debe disponer de:;Pantalla.;Cámara.;Software o App de realidad aumentada.;Todas las respuestas son correctas.;4
Los patrones de disparo, la geolocalización y la interacción con internet son los tres recursos tecnológicos imprescindibles para:;Gamificación.;Storytelling o narrativa App.;La realidad virtual;La realidad aumentada;4
Algunas de las potencialidades de la RA en educación son:;Conocer información sobre ubicaciones físicas concretas, creación de itinerarios, escenarios y experiencias basadas en la geolocalización.;Adquisición de aprendizajes prácticos simulaciones- a través de juegos virtuales basados en el reconocimiento gestual y la geolocalización.;Integración con diversas áreas curriculares como matemáticas, ciencias, educación física, idiomas, conocimiento del medio, etc.;Todas las respuestas son correctas;4
Selecciona la definición correcta de lo que es un código QR:;Los códigos QR son códigos generados manualmente para ser posteriormente impresos en pegatinas o papel y ser leídos desde un móvil con un decodificador o escáner (otra aplicación).;Los códigos QR son códigos generados mediante una aplicación en general online y ser leídos desde un móvil con un decodificador o App adecuada.;Los códigos QR son códigos generados mediante una App y ser leídos desde un ordenador a través de Qr droid.;Ninguna de las anteriores es cierta;2
La ____________ es la representación de imágenes, sonidos y mecánicas que pretenden crear la sensación de realidad (Completa la frase);Gamificación.;Storytelling o narrativa App.;La realidad virtual;La realidad aumentada;3
Señala qué Apps son útiles para introducir la gamificación en el aula;Expedition, Sites in VR y youtube RA.;Quiver, Mapa estelar y Night Sky;Kahoot, Socratives y Classcraf;Smartify, aR Anatomía 4D+ y Rias Baixas RA;3
Señala qué App es útil para generar códigos QR;Unitag QR.;Quiver;Socrative;Smartify;1
