pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Señala cuál de las siguientes afirmaciones es la verdadera:;La Teoría conductual es aquella que apremia o no al individuo después de emitir una respuesta que se espera como verdadera.;La Teoría cognitiva es aquella que apremia o no al individuo después de emitir una respuesta que se espera como verdadera.;La Teoría situacional es aquella que trata de resolver los problemas sin atender a su contexto.;La Teoría cognitiva es aquella en que no se tiene en cuenta el proceso mental, solo la construcción del conocimiento.;1
¿Cómo se realiza el aprendizaje constructivista?;A través de experiencias, de hechos significativos para el alumno, a través del proceso de abstracción y a través del aprendizaje por descubrimiento.;A través de experiencias, de hechos significativos para el alumno, a través del proceso de abstracción y a través del aprendizaje por memorización, lo que se ha hecho siempre funciona.;A través de experiencias, de hechos significativos para el alumno, a través del proceso de abstracción, a través del aprendizaje por descubrimiento y otras diversas formas de aprendizaje, no hay un único método que funcione para todos.;Ninguna de estas opciones es correcta;3
Uno de los estilos de liderazgo es el que el líder dirige y se caracteriza por:;El docente está constantemente revisando lo que hacen sus alumnos, establece un feedback de manera continuada.;Es aquel que adopta el papel de guía, por ende, ha de dar a sus alumnos una serie de directrices o consignas claras y detalladas de todo el proceso.;El docente recoge las ideas de sus alumnos y la decisión es tomada en consenso, entre todos los participantes y según las ideas que se han ido generando.;El docente tiene una baja participación o apoyo por parte del líder ya que delega totalmente en sus alumnos la toma de decisiones o la ejecución de las tareas;1
Las teorías psicopedagógicas que sustentan el aprendizaje móvil y ubicuo son, elige la más completa:;Teorías constructivistas, conductuales, sociales, colaborativo y situacional;Teorías constructivistas, sociales y situacionales;Teorías constructivistas, conductuales, situacionales, cooperativas y, colaborativas y permanente;Teorías constructivistas, sociales y colaborativas;3
¿Cuál de los siguientes beneficios no corresponde con el e-learning?;Reducción de costes;Rapidez;Acceso just-in-time;Son fáciles de utilizar ya que poseen el NUI (natural user interface);4
¿Cuál es la evolución de los aprendizajes tecnológicos en orden?;E-learning, m-learning, u-learning;U-learning, m-learning, e-learning;M-learning, u-learning, e-learning;E-learning, a-learning, u-learning;1
¿A qué se deben los factores en contra del aprendizaje móvil?;No tener conocimiento o formación suficiente sobre el uso de esta tecnología;Generación de pensamientos o emociones de imposibilidad del uso del dispositivo en el aula;Miedo de abandonar su zona de confort;Las tres anteriores serían correctas;4
¿Cuál de las siguientes características no tiene por qué ser una característica del aprendizaje móvil?;Autónomo;Motivacional;Natural;Multifuncionalidad;3
¿Cuál de las siguientes características no tiene por qué ser una característica del aprendizaje ubicuo?;Accesibilidad;Interactividad;Económico;Inmediatez;3
¿Cuál no corresponde con una de las claves del aprendizaje permanente en el m/u-learning?;Motivación intrínseca;Aprendizaje intencional y progresivo;Contenidos bajo demanda contextualizados;El factor tiempo lo determina el aprendizaje;4
