pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Señala cuál de las siguientes afirmaciones es la verdadera:;No hay modelo de referencia único para el aprendizaje con dispositivos móviles;No existen marcos que tengan en cuenta las interacciones de alumnos-profesores;En su mayoría los marcos se basan en temas puramente tecnológicos;Sólo hay modelo de referencia único para el aprendizaje con dispositivos móviles.;1
¿En el marco conversacional de Laurillard existen cuatro procesos diferentes según el tipo de relación, el discursivo, el adaptativo y el reflexivo, pero cuál falta?;El conceptual;El orientativo;El interactivo;El práctico;3
El modelo Frame de Koole, describe el aprendizaje móvil como la intersección de tecnologías móviles, capacidades humanas y de interacción social. ¿Qué representa LS?;(LS) representa la interacción de aprendizaje;(DS) representa la usabilidad de dispositivo;(DL) representa la tecnología social;Ninguna es correcta;1
Según la teoría transaccional de Michael G. Moore, ¿de qué depende la distancia transaccional además del diálogo y la estructura?;Y el aprendizaje de los alumnos;Y la autonomía de los alumnos;Y las reflexiones de los alumnos;Y de los dispositivos móviles de los alumnos;2
¿Cuántos modelos de aprendizaje distingue el modelo pedagógico de Park en función de la distancia transaccional y la actividad del alumno?;Cinco;Dos;Tres;Cuatro;4
¿Qué significan exactamente las siglas del modelo ADDIE?;Ambientación, diseño, desarrollo, investigación, evaluación;Armonía, diseño, dispositivo, implementación, exportación;Análisis, diseño, desempeño, innovación, elaboración;Análisis, diseño, desarrollo, implementación, evaluación;4
¿Cuál es la diferencia entre la escuela 1:1 y el modelo BYOD?;Son lo mismo, si todos traemos nuestro Smartphone habrá un teléfono inteligente por cada alumno, 1 a 1;La escuela 1:1 es la precursora del modelo BYOD, antes el ordenador era de sobremesa y ahora es portátil;El modelo trae tu propio dispositivo es más amplio que el de escuela 1:1, incluye cualquier dispositivo móvil acordado con el centro y el alumnado/familias;La escuela 1:1 es cuando la financiación es pública y BYOD cuando el ordenador lo financia el estudiante;3
¿Qué suele suceder cuando un solo profesor introduce un programa BYOD?;El profesor se satura y agobia con tanto trabajo;El programa se extiende lentamente;Genera conflictos con los otros docentes;Los alumnos mejoran automáticamente los resultados;2
¿Cuáles son algunos problemas relacionados con los programas BYOD?;Solo las familias financian los dispositivos;Un único dispositivo no sirve para toda la vida del estudiante;Todos los estudiantes no pueden usar el mismo dispositivo;Todos los anteriores son falsos;4
¿Cuál de estas ventajas relacionadas con los programas BYOD para los estudiantes NO sería correcta?;Los estudiantes cuidan más los dispositivos si son suyos;Los estudiantes no necesitan que el profesor los ayude;Los estudiantes pueden aprender a utilizarlo dentro y fuera del centro;El alumno se siente más cómodo y hace las tareas más rápido;2
