pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Generación Apps es un proyecto liderado por:;INTEF;Escuelas Católicas.;ONCE;Ninguna de las anteriores es cierta;2
El INTEF nos ofrece una selección de Apps educativas clasificadas por:;Niveles de la taxonomía de Bloom.;Niveles educativos y por las áreas curriculares de cada etapa.;Comunicación, funciones cognitivas, desarrollo personal y habilidades sociales y aprendizajes curriculares;Plataformas;2
En el proyecto Generación Apps las aplicaciones se clasifican por:;Niveles de la taxonomía de Bloom.;Niveles educativos y por las áreas curriculares de cada etapa.;Comunicación, funciones cognitivas, desarrollo personal y habilidades sociales y aprendizajes curriculares;Pautas de DUA;3
La rueda de la pedagogía de Allan Carrington clasifica las Apps por:;Niveles de la taxonomía de Bloom.;Niveles educativos y por las áreas curriculares de cada etapa.;Comunicación, funciones cognitivas, desarrollo personal y habilidades sociales y aprendizajes curriculares;Según su grado de accesibilidad y usabilidad;1
El buscador de Apps de la ONCE clasifica las Apps según:;Niveles de la taxonomía de Bloom.;Niveles educativos y por las áreas curriculares de cada etapa.;Comunicación, funciones cognitivas, desarrollo personal y habilidades sociales y aprendizajes curriculares.;Según su grado de accesibilidad y usabilidad;4
El área de DUA que responde a la pregunta de ¿cómo aprender? es:;Principio I. Proporcionar múltiples formas de representación de la información.;Principio II. Proporcionar múltiples formas de expresión del aprendizaje,;Principio III: Proporcionar múltiples formas de implicación;Ninguna de las anteriores es cierta;2
El área de DUA que responde a la pregunta de ¿qué aprender? es:;Principio I. Proporcionar múltiples formas de representación de la información.;Principio II. Proporcionar múltiples formas de expresión del aprendizaje,;Principio III: Proporcionar múltiples formas de implicación;Ninguna de las anteriores es cierta;1
El área de DUA que responde a la pregunta de ¿por qué aprender? es:;Principio I. Proporcionar múltiples formas de representación de la información.;Principio II. Proporcionar múltiples formas de expresión del aprendizaje,;Principio III: Proporcionar múltiples formas de implicación;Ninguna de las anteriores es cierta;3
La Pauta DUA Promover la comprensión en diferentes idiomas pertenece al área:;Principio I. Proporcionar múltiples formas de representación de la información.;Principio II. Proporcionar múltiples formas de expresión del aprendizaje,;Principio III: Proporcionar múltiples formas de implicación;Ninguna de las anteriores es cierta;1
La Pauta DUA Desarrollar la autoevaluación y la reflexión pertenece al área:;Principio I. Proporcionar múltiples formas de representación de la información.;Principio II. Proporcionar múltiples formas de expresión del aprendizaje,;Principio III: Proporcionar múltiples formas de implicación;Ninguna de las anteriores es cierta;3
