pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué se entiende por sistema operativo?;El sistema operativo es un chip que llevan todos los dispositivos móviles.;El sistema operativo es un software que llevan algunos los dispositivos móviles;El sistema operativo es un software que llevan todos los dispositivos móviles y sirve como interface entre el usuario y el dispositivo.;El sistema operativo es un software que se ejecuta después de las aplicaciones.;3
Actualmente los sistemas operativos más utilizados en dispositivos móviles son:;El sistema operativo iOs de Google, y el sistema operativo Android de Apple;El sistema operativo iOs de Apple y el sistema operativo Android de Google.;El sistema operativo Windows Phone de Microsoft, y el sistema operativo Android de Google;No existe una afirmación correcta.;2
Elige de las siguientes afirmaciones cuál no es correcta;App es la abreviatura de la palabra inglesa application (aplicación, programa, etc.);App es el software que se instala en un dispositivo ampliando las múltiples funcionalidades del equipo;Los móviles de la primera generación tenían varias apps con las que se podía jugar a través de Internet;A partir de la aparición del IPhone, las apps empezaron a tener un lugar privilegiado en el sector de la tecnología.;3
El término aplicación tecnológica se emplea correctamente:;..., en términos generales, para designar el software que se instala en un escritorio para la realización de diferentes tipos de trabajos y tareas, reduciendo las funcionalidades del equipo en el que está instalada.;..., en términos generales, para designar el software que se instala en un terminal o dispositivo para la realización de diferentes tipos de trabajos y tareas, ampliando las múltiples funcionalidades del equipo en el que está instalada;..., en términos generales, para designar el software que se instala en un terminal o dispositivo para la realización de diferentes tipos de trabajos y tareas, reduciendo las funcionalidades del equipo en el que está instalada.;..., en términos generales, para designar el software que se instala en un terminal o dispositivo antes del sistema operativo.;2
La tecnología móvil se compone de:;Las apps nativas son programadas íntegramente para un sistema operativo específico;Las apps híbridas cuentan con entorno de desarrollo nativo y lenguaje web (HTML5).;Ninguna de las afirmaciones a o b son correctas;Tanto la afirmación a como la b son correctas.;4
¿Se puede decir que es lo mismo una Aplicación Web que una App Web?;Sí se puede decir dado que se llaman igual, luego son lo mismo.;No, no se puede decir dado que la Aplicación Web no necesita instalación y la App Web sí.;Sí, se puede decir que son lo mismo ya que una y otra necesitan Internet para funcionar.;No se puede decir que es lo mismo, porque funcionan en exploradores diferentes.;2
En el año 2015 Google publica que había tenido más visitas desde móviles que desde ordenadores, y se llega al modelo:;Mobile First, que quiere decir que una aplicación primero se diseña para móvil y por último para el ordenador.;Diseño responsive, que quiere decir que una aplicación primero se diseña para móvil y luego para el ordenador;Mobile First, que quiere decir que una aplicación primero se diseña para el ordenador, y se va haciendo pequeña para que se adapte bien al móvil.;No aparece ningún modelo diferente de los que ya había.;1
¿Cuál de estas recomendaciones de seguridad para móviles NO es correcta?;Utilizar algún programa de protección.;No actualizar el sistema operativo a menudo, para evitar que entre virus por la red.;No confiar en fuentes no fiables, abriendo archivos, descargas, o compartiendo información personal;Si los datos que guardas en tu dispositivo te interesan haz copias de seguridad.;2
Aprender a programar se debería hacer en la escuela, ¿cuál NO sería un beneficio?;Desarrollo de la competencia digital;Mejora de competencias matemáticas, lógicas, y comprensión lectora;Desarrollo de la creatividad;Mejora de la capacidad auditiva y visual;4
Si recibimos un archivo llamado hola.apk, ¿cuál afirmación sería correcta?;Es una aplicación móvil que se puede instalar tanto en un móvil con iOS, como en uno con S.O. Android;Es una aplicación móvil que se puede instalar en un dispositivo móvil de sistema operativo iOS;Es una aplicación móvil que se puede instalar en un dispositivo móvil de sistema operativo Android;Es una aplicación móvil, pero no se puede instalar porque es de una fuente desconocida;3
