pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Algunos de los usos educativos de las Apps son:;Juegos de competición;Juegos de simulación;Juegos de acción;Ninguna de las anteriores es cierta;2
La tienda de aplicaciones móviles para el SO Android se llama:;App Store.;Google Play.;App Annie.;DigitalTrench Store;2
La tienda de aplicaciones móviles para el SO IOS se llama:;App Store.;Google Play.;App Annie.;DigitalTrench Store;1
La rueda de la pedagogía de Allan Carrington:;Es una plataforma que permite acceder a datos y analítica sobre las aplicaciones más descargadas por los usuarios en diferentes países y tanto para Android como para IOS.;Es una rueda de aplicaciones con las que se pueden buscar Apps educativas.;Es un informe que recoge las Apps más descargadas en cada mes.;Es una representación gráfica de la taxonomía de Bloom que se puede usar para seleccionar las aplicaciones idóneas (Android o iOS) a utilizar en una actividad, de acuerdo con los objetivos de aprendizaje que se pretendan alcanzar.;4
El aprendizaje basado en competencias desarrolla en los discentes:;Autonomía;Creatividad.;Comunicación;Todas las respuestas son correctas;4
Los niveles de la taxonomía de Bloom en su versión revisada son:;"""1) Recordar; 2) Comprender; 3) Resover; 4) Analizar; 5) Conocer y 6) Evaluar.""";"""1) Recordar; 2) Comprender; 3) Aplicar; 4) Analizar; 5) Evaluar y 6) Crear.""";"""1) Conocimiento; 2) Comprensión; 3) Aplicación; 4) Análisis; 5) Síntesis y 6) Evaluación.""";Ninguna de las anteriores es cierta;2
Los verbos como desempeñar, usar, ejecutar, compartir, editar son indicadores de la actividad mental implicada en la fase de:;Recordar.;Aplicar.;Crear.;Analizar;2
Las siglas REAs se corresponden con:;Recursos educativos accesibles.;Recursos educativos abiertos.;Recursos evaluación-acción.;Recursos educativos para el aprendizaje;2
El diseño universal para el aprendizaje (DUA):;Ofrece diferentes posibilidades de representación de la información, de expresión y acción por parte del alumnado, y de su implicación en el proceso didáctico.;La información relevante es presentada de varias maneras;Ofrece unas pautas para facilitar que todos los alumnos y alumnas tengan oportunidades de aprender utilizando el mismo material, sin necesidad de adaptaciones a posteriori.;Todas las respuestas son correctas;4
El exe-learning:;Es una herramienta útil para la creación de REAs.;Es código libre.;Es una herramienta recomendada por el INTEF.;Todas las respuestas son correctas;4
