pregunta;opcion1;opcion2;opcion3;opcion4;correcta
En una simulación, si hay que sacrificar algo que sea el tiempo de discusión posterior a la misma.;Cierto;Falso;;;2
Una simulación requiere, por lo menos, un ordenador.;Cierto;Falso;;;2
Un juego comercial puede ser utilizado como Serious Game en algunos contextos.;Cierto;Falso;;;1
Es importante probar bien una simulación antes de aplicarla a clase.;Cierto;Falso;;;1
Los serious games son más simples y rudimentarios que los videojuegos tradicionales.;Cierto;Falso;;;2
Una buena simulación puede traer todavía mejores discusiones posteriores.;Cierto;Falso;;;1
Los Serious Games pueden ser divertidos aunque su propósito principal no sea el entretenimiento.;Cierto;Falso;;;1
El diseño de un proceso gamificado debe girar en torno a su intención.;Cierto;Falso;;;1
La gamificación consiste en poner una capa adicional con elementos de juego a una tarea cualquiera.;Cierto;Falso;;;2
La elección de delegado de clase es un ejemplo de simulación.;Cierto;Falso;;;1
Hay dos formas de transformar un videojuego en un serious game: mediante transformación del propósito y mediante modificación.;Cierto;Falso;;;1
La gamificación y los serious games comparten elementos pero sus objetivos son distintos.;Cierto;Falso;;;1
Los puntos, las medallas y los rankings son los elementos más habituales en la gamificación.;Cierto;Falso;;;1
Los serious games son un subconjunto de otro mayor que es el juego serio.;Cierto;Falso;;;1
Un juego analógico no puede ser un serious game.;Cierto;Falso;;;2
El problema de las simulaciones es que no muestran las relaciones entre sus variables de forma clara;Cierto;Falso;;;2
Gamificar es una tendencia reciente.;Cierto;Falso;;;2
Una aplicación gamificada no es un juego.;Cierto;Falso;;;1
La función principal de la gamificación es hacer más placenteros los procesos mundanos y repetitivos.;Cierto;Falso;;;2
Las simulaciones son complicadas de implementar porque es fácil que los alumnos sean pasivos en ellas.;Cierto;Falso;;;2
