pregunta;opcion1;opcion2;opcion3;opcion4;correcta
El jugador se pone en el papel de un funcionario de aduanas de un;Papers Please;Sims;Life is Strange;This War of Mine;1
Se refiere a la respuesta emocional del jugador durante su;Componente;Mecánica;Estética;Dinámica;3
¿En qué pantalla, poco convencional, se jugaba al Tennis for Two, en los años 50-60?;Un disquette;Un osciloscopio;Una televisión;Un radar;2
A nivel tecnológico, ¿Dónde se almacenaban los primeros juegos?;Cd;En cartuchos y cassettes;Disquetes flexibles;Vinilos;2
Videojuego donde el civil debe sobrevivir la guerra, que termina;This War of Mine;Minecraft;Life is Strange;Medal of Honor;1
Término para hablar de la fusión entre el entretenimiento y la educación;Eduplay;Edutainment;Enterlearn;Gamelearn;2
¿Cuál no es una de las problemáticas generales del videojuego?;Presupuestos altos;Presupuestos bajos;Falta de motivación;Tiempo de juego;1
¿Qué tipos de libertades se distinguen en relación con la libertad dirigida en los videojuegos?;De movimiento, resolución y autonomia;De movimiento, edición y relación;De movimiento, resolución y edición;De movimiento, relación y autonomia;1
Con este videojuego, se puede mostrar y concienciar sobre problemas como acoso escolar, racismo u homofobia.;Sim City;Papers Please;Word Wall;Life is Strange;4
¿Cuál NO es una de las grandes ventajas del videojuego educativo?;Pueden estimular la relación;Alumnado juega a videojuegos;Puede potenciar el pensamiento crítico;Favorecen el aprendizaje activo;2
Modelo de diseño:;MisionesDinámicasEstética;MecánicasDinámicasEstética;NarrativaObjetivosFeedback;ReglasDinámicasPremios;2
Videojuego que denuncia en qué condiciones se fabrican los smartphones;Phone Story;Iphone Please;Call me now;Hard Factory;1
Juego con un mundo que consta de bloques y cada bloque está formado por un componente (agua, madera, arena, roca, etc.);La Roca;Minecraft;Sims;Rock Disaster;2
Videojuego nacido en 1962, que trata en un combate espacial;Magnavox Odyssey;Spacewar!;Galaxy Combat;Star Shooter;2
Juego que crea personas virtuales y los pone en casas mientras los gestiona en función de su humor, necesidades y deseos;Sims;Hogwarts Legacy;Carmen San Diego;Math Blaster;1
Incluye crear argumentos persuasivos a través de procesos que usan reglas de comportamiento, construyendo modelos dinámicos;Retórica del videojuego;Fundamentos del juego;Ninguna es correcta;Retórica procedimental;4
