pregunta;opcion1;opcion2;opcion3;opcion4;correcta
En su rol el diseñador conecta tres mundos:;Diseño, desarrollo y negocio;Diseño, arte y economía;Diseño, estética y arte;;1
El ciclo del diseño del juego es:;Inclusivo;Irrepetible;Iterativo;;3
La habilidad más necesaria en un diseñador de juegos es:;La intervención;El diseño;La escucha;;3
Para los serious game los factores sociales, el aprendizaje y la motivación extrínseca e intrínseca son:;Factores clave;Factores adicionales;Factores primarios;;2
En el ciclo del desarrollo de un serious game cobra mayor relavancia:;La estrategia de venta;La estética del juego;El prototipo del juego;;3
Para sacar ideas para diseñar un juego es aconsejable:;Mirar películas;Tener a mano cosas para inspirarse, lápiz y papel;Reflexionar sobre su aplicación;;2
El diseño de un juego empieza por la definición de;Definir el problema o pregunta;Definir la audiencia;Definir los colaboradores;;1
El contenido estático/dinámico, la integración intrínseca/extrínseca, mostrar u ocultar el objetivo y el ritmo, son parte de las decisiones para:;Conectar Serious con game;Establecer los elementos de la gamificación;Elegir en qué juego inspirarse;;1
En el ciclo de desarrollo de un serious game un actor clave es:;El espacio de difusión;El propio diseñador;El usuario;;3
Si el objetivo del juego es la velocidad de cálculo mental el ritmo del juego debe ser:;Equilibrado;Más lento;Más rápido o adaptativo;;3
