pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Alquimistas y Las Mansiones de la Locura son dos ejemplos de juegos híbridos, ya que aplican la tecnología.;Cierto;Falso;;;1
El Senet era un juego parecido al ajedrez.;Cierto;Falso;;;2
El ajedrez es un juego derivado de otro juego de origen Indio.;Cierto;Falso;;;1
Algunos jugadores han llorado tras jugar a Train.;Cierto;Falso;;;1
La gamificación utiliza mecánicas provenientes de los juegos de mesa.;Cierto;Falso;;;1
El juego Real de Ur se utilizaba como herramienta de adivinación.;Cierto;Falso;;;1
Los juegos eduLARP (o rol en vivo en entorno educativo) son una forma de gamificación.;Cierto;Falso;;;2
El juego de rol es, probablemente, el que más potencie la creatividad del jugador.;Cierto;Falso;;;1
"El ""Game of Life"" es el primer juego de los hermanos Parker.";Cierto;Falso;;;2
Los eurogames tienen su origen en la Italia del Renacimiento.;Cierto;Falso;;;2
Los juegos de tipo Legacy, como Pandemic Legacy, permiten ser jugados una y otra vez sin pérdida de interés.;Cierto;Falso;;;2
En los eurogames, los jugadores no suelen resultar eliminados.;Cierto;Falso;;;1
Dungeons & Dragons se juega, a menudo, en los parques.;Cierto;Falso;;;2
Los juegos de mesa más antiguos conocidos son europeos.;Cierto;Falso;;;2
En CATAN, el ladrón está situado en el número 7 porque era el número que quedaba suelto tras asignar el resto.;Cierto;Falso;;;2
Los juegos analógicos usan, por definición, un tablero y fichas.;Cierto;Falso;;;2
Los juegos de Mancala eran una abstracción de la guerra.;Cierto;Falso;;;2
En los juegos típicamente europeos, el azar es un componente básico y fundamental.;Cierto;Falso;;;2
La intención original de Monopoly era mostrar la injusticia de los monopolios.;Cierto;Falso;;;1
Los juegos de guerra (o wargames) no tienen utilidad en la vida real.;Cierto;Falso;;;2
