pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Término usado para describir las incoherencias entre el aspecto narrativo y el aspecto jugable.;Disonancia ludonarrativa;Discrepancia lúdica;Disonancia fonológica;Discrepancia narrativa;1
Las consecuencias directas de las acciones del jugador cuando se enfrenta a retos de la narrativa son:;Recompensas y penalizaciones;Componentes;Dinámicas;Pérdida de vidas;1
"¿Qué condiciones se deben cumplir para poder ""pasarte el juego""";Objetivos;Reglas;Dinámicas;Logros;1
Término relacionado con las ACCIONES del jugador con los componentes del juego;Objetivos;Mecánicas;Reglas;Dinámicas;2
Los 4 elementos que constituyen el núcleo del juego son: Reglas, mecánicas, entidades y...;Relevos;Componentes;Objetivos;Narrativa;3
Jugadores que buscan el triunfo y la victoria como los asesinos, pero se centran en la recolección de objetos...;Socializers;Explorers;Killers;Achievers;4
Los objetos del juego con los que el jugador interactúa, gestiona o bien modifica, son:;Entidades;Componentes;Avatares;Logros;1
Es importante que las relaciones entre las acciones y los resultados en el juego sean:;Diversas;Discernibles e integradas;Variables;Aleatorias;2
Las reglas del juego son, en la mayoría de los casos...;Modificables;Variables;Explícitas y claras;Editables;3
Jugadores que se centran en la acción, disfrutan atacando y derrotando a los demás jugadores;Explorers;Killers;Achievers;Socializers;2
Cuando la interacción entre el jugador y el juego no ocurre de forma directa hablamos de:;Juego lúdico;Contexto;Re-mediación;Entorno;3
Lugar donde se lleva a cabo el juego:;Contexto;Mapa;Entorno;Juego lúdico;3
Los juegos analógicos son especiales porque:;Nadie los sabe jugar;No es necesario crear un pacto lúdico;Evitan vicios repetitivos;Solo se pueden jugar con un tablero;3
Uno de los primeros juegos que se encontraron en la antigua Mesopotamia fue;Juego Real de Ur;De Larp;Ninguna es correcta;Dungeaons & Dragon;1
En este juego, se “plantan” semillas en una serie de agujeros y el objetivo es “recolectar” el máximo posible.;Juego Real de Ur;De Larp;Dungeaons & Dragon;Mancala;4
Juego inspirado en la epidemia de la Gripe Aviar;Pandemic;Carcassone;Ungame;Catan;1
El rey de los juegos de mesa a lo largo de la historia;Larp;Monopoly;Ajedrez;Catan;3
Kriegsspiel era un:;Juego intuitivo;Juego bélico;Eurogame;Juego de rol;2
El Monopoly es uno de los máximos exponentes de:;Videojuego;Eurogames;La industria americana;Juegos de rol;3
En categoría de Eurogame, su juego más reconocido es...;Catan;Carcassone;Ungame;Spiel;1
¿En dónde se pueden jugar los juegos de mesa, generalmente?;Delante de la familia;En cualquier lugar;Solo en una mesa;Solo en un lugar seguro;2
El juego LARP también es conocido como...;Larpation;Rol movido;Rol versionado;Rol en vivo;4
La principal característica de los juegos de rol es que se potencia la;Seguridad;Alianza;Autonomía;Creatividad;4
En los eurogames:;Lo que importa es ganar siempre;Lo que importa es hacer trampas;Lo que importa es la suerte;Lo que importa es la estrategia;4
