pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Diseñar un juego nuevo tras probar otro juego es una actividad creativa de alto valor.;Cierto;Falso;;;1
El profesor tiene que ayudar a que los alumnos respondan sus propias cuestiones y, a la vez, animarlos en su desempeño.;Cierto;Falso;;;1
Una buena forma de evaluar cómo ha funcionado el juego es con la elaboración del relato de la partida.;Cierto;Falso;;;1
Una vez empezado el juego, las reglas son invariables.;Cierto;Falso;;;2
Una buena práctica para asentar el aprendizaje es hacer que los alumnos creen su propio juego-modelo.;Cierto;Falso;;;1
Durante el juego no deben aplicarse las reglas propias de la clase, externas al mismo.;Cierto;Falso;;;2
Caterpillar es un juego de pura suerte que se usa en educación porque carece de interés competitivo.;Cierto;Falso;;;2
Los juegos son fácilmente utilizables para la construcción de relatos.;Cierto;Falso;;;1
Se recomienda evaluar cómo ha jugado el alumno para ponerle su nota.;Cierto;Falso;;;2
Para introducir un juego en el aula es necesario conocerlo bien.;Cierto;Falso;;;1
Que no termine el juego a tiempo es un error gravísimo de planificación.;Cierto;Falso;;;2
Presentar el juego consiste en contar detalladamente las reglas, excepciones y casuísticas a los alumnos, para evitar confusiones posteriores.;Cierto;Falso;;;2
Si no hay suficientes tableros se recomienda que algunos niños miren en vez de jugar.;Cierto;Falso;;;2
En el videojuego no se encuentran lecturas complejas.;Cierto;Falso;;;2
El método de la pecera consiste en colocar todos los alumnos en círculo para mostrar un vídeo sobre el funcionamiento del juego.;Cierto;Falso;;;2
Es recomendable repartir los jugadores que tengan experiencia previa entre los grupos que se formen.;Cierto;Falso;;;1
El rol del profesor es prescindible durante el juego.;Cierto;Falso;;;2
Los juegos no son demasiado buenos para ser usados como modelos.;Cierto;Falso;;;2
Las películas o los libros son mejores como lectura didáctica que el videojuego.;Cierto;Falso;;;2
En algunos casos, usar un juego como actividad especial puede asemejarse a una salida o excursión.;Cierto;Falso;;;1
