pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Nintendo revitalizó la industria Europea del videojuego tras el Crash de 1983.;Cierto;Falso;;;2
Atari, con su Pong, marcó el inicio de la industria del videojuego.;Cierto;Falso;;;1
El jugador percibe el juego a través de la estética y el diseñador de la mecánica.;Cierto;Falso;;;1
Minecraft y SimCity tienen versiones especialmente concebidas para su uso en entornos educativos.;Cierto;Falso;;;1
La primera consola doméstica de la historia fue la Magnavox Odyssey, inventada por Nolan Bushnell.;Cierto;Falso;;;2
La retórica procedimental es la práctica de utilizar procesos de forma persuasiva.;Cierto;Falso;;;1
Los videojuegos educativos suelen presentar mecánicas simples y repetitivas.;Cierto;Falso;;;1
El uso adecuado y acompañado de videojuegos puede potenciar el pensamiento crítico.;Cierto;Falso;;;1
El modelo MDA se refiere a mecánicas, dinámicas y estéticas.;Cierto;Falso;;;1
"Es difícil que un juego comercial tenga valor en el aula; lo que funcionan son los juegos educativos.";Cierto;Falso;;;2
Phone Story es un buen ejemplo de diseño de videojuego.;Cierto;Falso;;;2
El uso educativo de los videojuegos es algo de la última década.;Cierto;Falso;;;2
Un buen videojuego no debe contener mensajes políticos.;Cierto;Falso;;;2
El videojuego proporciona una libertad total al jugador;Cierto;Falso;;;2
Los videojuegos fueron, inicialmente, concebidos en entornos universitarios.;Cierto;Falso;;;1
Serious Game es sinónimo y otra forma de llamar a los videojuegos para el aprendizaje.;Cierto;Falso;;;2
En un juego como Los Sims, estamos sometidos a la agenda ideológica del diseñador.;Cierto;Falso;;;2
Ya no se editan juegos en formato que no sea de disco óptico.;Cierto;Falso;;;2
La población, en general, juega poco a videojuegos.;Cierto;Falso;;;2
A todos los alumnos les gustan los videojuegos.;Cierto;Falso;;;2
