pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Chore Wars es un ejemplo de gamificación.;Cierto;Falso;;;1
La 'pointsification' de la que habla Robertson es más positiva que la gamificación.;Cierto;Falso;;;2
Duolingo intenta que el usuario entre cada día a practicar.;Cierto;Falso;;;1
Imponer la gamificación desde arriba suele acabar en 'ludictadura'.;Cierto;Falso;;;1
Las implicaciones éticas para la aplicación de la gamificación son similares a las de los videojuegos.;Cierto;Falso;;;2
Ribbon Hero es un buen ejemplo de gamificación.;Cierto;Falso;;;2
Chore Wars puede contribuir a que los miembros de una casa estén más implicados en las tareas de la casa.;Cierto;Falso;;;1
Chore Wars hace más llevaderas las tareas de la casa.;Cierto;Falso;;;2
Hay que ser crítico con las tendencias de manipulación de comportamiento como la gamificación, aprovechar sus beneficios y no caer en trampas o atajos.;Cierto;Falso;;;1
Duolingo es una herramienta gratuita de aprendizaje de idiomas y sin ánimo de lucro.;Cierto;Falso;;;2
ClassDojo responde a la necesidad de generar comunicación en las aulas.;Cierto;Falso;;;2
Hay estudios que demuestran que un +1 en ClassDojo es más efectivo que un caramelo para premiar el buen comportamiento de un alumno medio.;Cierto;Falso;;;2
La gamificación contribuye a la conciliación laboral.;Cierto;Falso;;;2
"Bogost habla de ""explotationware"" para evitar legitimar el uso del término ""juego"" de gamificación.";Cierto;Falso;;;1
La Ludictadura ocurre cuando el juego es impuesto en entornos laborales.;Cierto;Falso;;;1
La gamificación influye a la motivación de todos los participantes de igual manera.;Cierto;Falso;;;2
Las traducciones derivadas de Duolingo suponen beneficio económico para el traductor.;Cierto;Falso;;;2
La gamificación puede hacer que el usuario incurra en comportamientos que no harían en otros casos, como usar la tarjeta de crédito para avanzar.;Cierto;Falso;;;1
La gamificación sustituye los incentivos reales por virtuales.;Cierto;Falso;;;1
La gamificación es mala.;Cierto;Falso;;;2
