pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Según estableció Wolff y Mulholland (2013) el proceso de curación de contenidos consta de seis fases:;Investigación, análisis de los contenidos, desarrollo, implantación, organización y difusión.;Investigación, selección, interpretación, desarrollo, implantación y difusión.;Investigación, selección, interpretación, organización, evaluación y difusión.;Investigación, selección, interpretación del contenido individual, interpretación a través del contenido, organización y difusión.;1
¿Qué permite realizar una herramienta como Scoop.it?;Construir contenido.;Seleccionar y editar contenido.;Buscar y difundir contenido.;Buscar e investigar, seleccionar, personalizar o editar y difundir contenido.;4
El rol del docente ya no sólo contempla el diseño de contenidos, sino que a su vez conlleva la curación de contenidos. ¿Qué supone este nuevo rol para el maestro?;Comprende una tarea de saneamiento de los materiales educativos.;Diseñar y desarrollar contenidos pedagógicos eficaces en el desarrollo del aprendizaje.;Analizar y establecer los contenidos conforme al perfil de los alumnos.;Requiere de criterio del docente para poder seleccionar el contenido pedagógico adecuado conforme al currículo.;4
¿A qué nos referimos cuando hacemos alusión al denominado 'Paréntesis de Gutenberg'?;A la etapa de proliferación de periódicos, revistas y libros.;Al momento en el que tuvo lugar la implantación de la imprenta.;El período de transición entre el momento antes de crearse la imprenta hasta el momento que aparece internet.;Al proceso de expansión y revolución en la escritura caracterizado por el desarrollo y evolución de la imprenta.;3
Generalmente las fases a seguir en el proceso de curación de contenidos son cuatro, ¿cuáles?:;Búsqueda, análisis, la organización y difusión.;Búsqueda, selección, almacenamiento y difusión.;Investigación, selección, desarrollo e implantación.;Investigación, selección, interpretación e implantación.;2
Al hablar de innovación en educación, se hace referencia al cambio, y el cambio supone una transformación en la práctica pedagógica, por tanto ¿qué implica aplicar la innovación en educación?;La innovación implica cambio o transformación y la mejora de la calidad educativa.;La innovación implica únicamente el cambio o transformación digital.;La innovación no sólo implica transformación sino también investigación y desarrollo.;La innovación hace referencia a la evolución tecnológica.;1
¿Qué factores caracterizan estos nuevos recursos didácticos digitales?;Ser personalizable, digital y multimedia.;El cambio en su naturaleza física, en el rol del docente y del alumno, en el propio recurso pedagógico y en el método de distribución del contenido educativo.;Ser un recurso que fomenta el autoaprendizaje y la autoevaluación.;Su distribución a través de plataformas online y repositorios de contenidos.;2
¿Qué es el copyleft según Lawrence Lessig?;Desarrollar instrumentos que faciliten únicamente la difusión en el ámbito digital.;Desarrollar un conjunto de instrumentos jurídicos que faciliten crear y compartir contenidos en el plano digital de forma gratuita.;Presentar recursos para su uso con algunas limitaciones en el ámbito digital.;Desarrollar instrumentos educativos que permitan el diseño y la creación de nuevos recursos.;2
¿A qué nos referimos cuando hacemos alusión al Pan European Game Information (PEGI)?;A un programa de regulación del contenido digital conforme al currículo europeo.;A un plan que garantiza la calidad del contenido educativo.;A un sistema de clasificación por edades que garantiza que el contenido de entretenimiento esté etiquetado en base a la recomendación de edad mínima.;A un sistema de clasificación del contenido por categorías temáticas educativos.;3
¿Cuáles son las fases por las que debe transitar todo proyecto educativo innovador?;Fase de análisis, desarrollo, implementación y evaluación.;Fase de investigación, desarrollo, implementación y evaluación.;Fase de planificación de la propuesta, análisis, implementación y evaluación.;Fase de búsqueda, propuesta, desarrollo y evaluación.;3
