pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué tres tipologías de audio se pueden trabajar en una secuencia didáctica?;El audio didáctico, el narrativo y el educativo.;El audio literario, educativo y cultural.;La radio, el podcast y el audiolibro.;El audio narrativo, la radio y el didáctico.;3
¿De qué fases consta la elaboración de un programa de radio en clase?;Fase de preproducción, producción, montaje, edición, difusión y valoración.;Fase de planificación o preproducción, producción y emisión en directo.;Fase de producción, emisión en directo y difusión.;Fase de producción, montaje, emisión en directo y evaluación.;2
¿En qué etapa tiene lugar la simulación a la hora de elaborar un programa de radio?;Fase de producción.;Fase de montaje.;Fase de preproducción o planificación.;Fase de edición.;3
¿Cuál de las siguientes afirmaciones NO es correcta?;El podcast contribuye al autoaprendizaje.;El podcast puede ser elaborado únicamente por el docente.;Crear estas tipologías de audio fomenta el aprendizaje colaborativo.;Para construir un audio se requiere de un guion de producción.;2
¿Cuáles son los pasos a seguir para la elaboración de un podcast?;Fase de diseño, producción y difusión.;Fase de preproducción, producción y emisión.;Fase de planificación, producción, programación y evaluación.;Fase de producción, montaje y difusión.;3
Respecto a la adecuada selección de herramientas para la creación de audio didáctico, ¿cuál es la afirmación correcta?;Se debe optar por las mejores herramientas y eso implicará seleccionar softwares de pago.;Con el software en iOS se obtienen resultados de calidad profesional.;Se recomienda que las herramientas seleccionadas sean gratuitas.;No se requiere de filtros o funcionalidades que interfieran en el audio, debe ser limpio con una sola voz.;3
¿Cuántas pistas de audio pueden incorporarse en la edición de un podcast o audiolibro?;Una sola pista.;Dos pistas: locución y piezas musicales.;Tres pistas: locución, piezas musicales o efectos sonoros y otro recurso.;Todas las pistas que se requieran para la producción.;4
¿Cuál de los siguientes formatos de audio es el más usado, caracterizado por su optimización?;OGG;WAV;WMA;MP3;4
Selecciona una herramienta offline para editar un audio:;Vocaroo;Podomatic;Audacity;Ivoox;3
¿Con qué objetivo se realiza una ficha de análisis del podcast?;Para escuchar otros podcasts y conocer otras temáticas.;Para que el docente analice la estructura.;Para que el alumno analice la estructura y recursos empleados.;Como tarea en clase tras la producción de un podcast.;3
