pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué fases contempla la realización de un Flipclass?;Planificación, desarrollo y evaluación.;Diseño, creación de contenidos y digitalización.;Planificación, digitalización y trabajo en el aula.;Análisis, reflexión y evaluación.;3
¿Cuál de las siguientes afirmaciones es incorrecta en base a la aplicación de un modelo de aula invertida?;El docente determinará y tendrá en cuenta el contenido a transmitir.;El estudiante debe convertir el conocimiento adquirido en una experiencia de aprendizaje en el aula.;El maestro debe tener definidos y establecidos los objetivos que pretende lograr con cada uno de los vídeos preparados para los alumnos.;Este método en casa no requerirá de la intervención del docente durante el proceso de aprendizaje.;4
Tras la creación de contenidos, ¿En qué herramientas se presentan al alumno?;A través de LMS;En el aula;Un enlace a un repositorio de contenidos;Por email;1
¿Cuál de las siguientes herramientas permite editar vídeo y crear a su vez video cuestionarios?;Genially;Picktochart;EDpuzzle;Canva;3
¿Bajo qué teoría del aprendizaje se construye el modelo Flipped Classroom?;Conectivismo;Cognitivismo;Constructivismo;Construccionismo;3
¿A través de qué herramienta el docente puede realizar un breve cuestionario al alumno en clase?;EDpuzzle;Kahoot;Canva;Easel.ly;2
¿Cuál de las siguientes características NO forma parte del aprendizaje centrado en el alumno presente en un modelo Flipped?;Aprendizaje activo;ABP;Aprendizaje Experiencial;Aprendizaje individual y solitario;4
¿Cuál de las siguientes taxonomías se establece como columna vertebral en el método Flipped?;Taxonomía de Reigeluth;Taxonomía de Marzano;Taxonomía de camperos;Taxonomía de Bloom;4
¿Qué elemento multimedia establecieron Bergman y Sams como el más efectivo y la herramienta didáctica por excelencia?;Imagen;Vídeo;Texto;Audio;2
¿Qué rol adopta el alumno en un Flipped Classroom?;Un papel pasivo y secundario;Rol de receptor del contenido transmitido;Un rol activo y práctico;Creador de contenidos;3
