pregunta;opcion1;opcion2;opcion3;opcion4;correcta
A diferencia del vídeo educativo el vídeo didáctico puede ser usado como contenido exclusivo sin necesidad de añadir otros recursos. ¿Qué otro factor le caracteriza?;El docente figura como parte de los contenidos del vídeo.;Diseñado como recurso en base a los objetivos del tema a impartir.;No puede durar más de 5 minutos.;Utiliza unas técnicas e instrumentos específicos para su producción.;2
Partiendo del punto de vista didáctico del vídeo, ¿cuál de las siguientes afirmaciones es incorrecta?;Es un recurso de autoaprendizaje para el alumno.;Invita a la reflexión.;Recurso de aprendizaje a distancia.;Sustituye al docente a lo largo del proceso de aprendizaje.;4
¿Cuál de las siguientes afirmaciones NO se contempla en la estructura de un vídeo dentro de una secuencia didáctica?;Los objetivos del tema.;Analizar si existe relación entre los conceptos.;Incorporar todos los recursos posibles, cuanta más información mejor.;Definir qué actividades se planteará al alumno tras el visionado.;3
El diseño de un video didáctico no sólo debe atender a cuestiones pedagógicas, sino que también deberá tener en cuenta la parte técnica. Al respecto, el modelo de Ellington (1985) indica que al crear este recurso audiovisual se debe distinguir entre la fase de diseño instruccional y la fase de producción. ¿Qué etapas contempla la fase de diseño?;Análisis de la situación, desarrollo, aplicación y evaluación.;Desarrollo, ensayo de los materiales, aplicación y evaluación.;Análisis de la situación, plan y temporalización del proceso y desarrollo del producto.;Ensayo de los materiales, revisión, desarrollo, aplicación y evaluación.;3
Existen tres etapas fundamentales para la elaboración de un video y son:;Análisis, desarrollo y elaboración.;Diseño, producción y postproducción.;Diseño, desarrollo y evaluación.;Análisis, producción y edición.;2
¿Qué elementos y recursos integra el guion de producción?;Información general, recursos de imágenes y recursos de audio.;Recursos de vídeo únicamente.;Información general, recursos de imágenes, recursos de audio, duraciones y nombre del archivo.;Vídeos y textos.;3
¿Cuál es el tipo de formato de vídeo más utilizado en transmisiones vía *Streaming*?;WMV/WMA;FLV;MPEG;RM;2
En caso de no disponer de espacio para instalar un software en el ordenador y requerir de una edición rápida de vídeo, ¿qué plataforma seleccionarías?;Quik;Viva Video;Wevideo;Openshot;3
Para la realización de un vídeo de calidad, ¿cuál es la resolución mínima requerida?;360p;480p;720p;1080p;3
¿Cuántas pistas se pueden introducir a la hora de producir un vídeo?;Una sola pista de vídeo;Una pista de vídeo y una de audio;Una pista de vídeo y dos de audio;Más de dos pistas de audio y vídeo;4
