pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Las tendencias emergentes de la innovación educativa se orientan a:;Tecnología;Procesos (metodologías);Contenidos curriculares;Todas son correctas;4
La curaduría implica diversos pasos como:;Todas son correctas;Búsqueda;Almacenamiento;Selección;1
El desarrollo de la innovación educativa implica:;Análisis;Planificación de la propuesta;Todas son correctas;Implementación y Evaluación;3
En qué fase de innovación educativa se examinan herramientas, metodologías, estrategias, etc.:;Análisis;Implementación;Evaluación;Planificación;1
Para identificar si un recurso es adecuado para el consumo de menores, es posible usar la categorización:;PEGI;ISO;Creative Commons;AQU;1
Si un profesor es capaz de diseñar materiales mediante TIC puede trabajar en:;Modalidad Presencial;Todas son correctas;Modalidad Virtual;Modalidad Mixta;2
¿Cuál de estos programas no usarías para la curación de contenidos?;Audacity;Scoop.it;Diigo;Zotero;1
¿Cuál de estos programas son usados para curación y creación de bibliografía?;Diigo;Audacity;Scoop.it;Zotero;4
CC BY permite distribuir, remezclar, adaptar y construir sobre el material en cualquier medio o formato, siempre que.....;No se utilice con fines comerciales;No se distribuyan modificaciones de la obra original;Se atribuya la autoría al creador;La obra derivada se comparta con la misma licencia;3
CC BY NC permite distribuir, remezclar, adaptar y construir sobre el material en cualquier medio o formato, siempre que.....;No se distribuyan modificaciones de la obra original;Se reconoce la autoría y no se utilice con fines comerciales;Se utilice con fines comerciales;La obra derivada se comparta con la misma licencia y se comercialice;2
El software libre se categorizó bajo que libertades... Puedes seleccionar más de una respuesta;Estudiar su funcionamiento y y las demas;Mejorar el programa;Redistribuir y ayudar;Ejecutar el programa;1
