pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué modelo pedagógico se menciona como uno de los más efectivos en la enseñanza actual?;Flipped Classroom;Educación a Distancia;Aprendizaje Basado en Proyectos;Aula Tradicional;1
¿Cuál es una de las principales herramientas utilizadas en el Flipped Classroom para la enseñanza teórica?;Clases magistrales;Presentaciones en PowerPoint;Vídeos interactivos;Libros de texto;3
Según Fulton (2012), ¿cuál es una ventaja del Flipped Classroom?;Los alumnos pueden aprender a su ritmo;El docente es el único responsable del aprendizaje;No se permite el uso de tecnología;Los alumnos deben asistir a todas las clases;1
¿Qué se busca fomentar en los estudiantes a través del Flipped Classroom?;La memorización sin comprensión;Un rol pasivo en el aprendizaje;La competencia digital;La dependencia del docente;3
¿Qué tipo de actividades se desarrollan en el aula según el modelo Flipped Classroom?;Actividades teóricas;Actividades de lectura individual;Actividades prácticas y colaborativas;Actividades de evaluación escrita;3
¿Qué se debe considerar al seleccionar el contenido para el Flipped Classroom?;La creatividad y significado del contenido;La opinión de los padres;La cantidad de contenido;La duración de las clases;1
¿Cuál es una de las características del aprendizaje en un aula invertida?;Evaluación únicamente al final del curso;Ambientes rígidos;Autoaprendizaje y trabajo colaborativo;Enfoque centrado en el docente;3
¿Qué herramienta se menciona como útil para la creación de vídeos interactivos?;Edpuzzle;Adobe Photoshop;Microsoft Word;Google Slides;1
¿Qué se busca lograr con la reflexión en el Flipped Classroom?;Limitar la interacción entre alumnos;Aumentar la carga de trabajo;Repetir el contenido;Mejorar habilidades y competencias;4
¿Qué tipo de aprendizaje se promueve en el Flipped Classroom?;Aprendizaje pasivo;Aprendizaje memorístico;Aprendizaje tradicional;Aprendizaje constructivista;4
