pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué elemento se considera una característica principal de la Realidad Virtual (RV)?;El entorno;La interactividad;La creatividad;La innovación;2
Identifica cuál de las siguientes afirmaciones se establece como inconveniente en el uso de la RV en el ámbito educativo.;Percepción multisensorial como base del aprendizaje;Entorno de aprendizaje inmersivo;Ausencia de realismo;Aplicable a múltiples áreas;3
¿Cuál de los siguientes elementos NO es considerado un hardware en la RV?;Guantes sensitivos;Tarjetas gráficas;Ordenadores;Programa de diseño;4
Identifica cuál de los siguientes dispositivos se considera háptico.;Gafas de RV;Dispositivos de audio;Guantes de RV;Tabletas;3
¿Qué interfaces integra el software de control para comunicarse con el mundo exterior a través de internet?;Interfaz visual y vestibular;Interfaz visual, de movimiento y kinésica;Interfaz visual, de movimiento, háptica y vestibular;Interfaz de movimiento y vestibular;3
¿A qué contribuyen principalmente los videojuegos en el proceso de aprendizaje del alumno?;Al entretenimiento;A la motivación del alumno;A la evolución de la tecnología;A orientar al alumno;2
¿Cuál de los siguientes no se considera un objetivo de los juegos serios (Serious Games)?;Se trata de un mecanismo que refuerza el aprendizaje de forma interactiva, motivadora y entretenida;Ser flexible;Ser accesible desde cualquier dispositivo;Interactuar con el entorno;4
Se establecen como taxonomías del videojuego educativo:;Juegos de acción, aventura, culturales y educativos;Juegos de rol, juegos educativos, culturales y de lógica;Juegos de aventura, de rol, deportivos y estratégicos;Las plataformas de juego, juegos de aventuras, lucha, roles, simulados, deportivos y estratégicos;1
¿Cuál de las siguientes herramientas puede usar el docente para el diseño de un entorno de realidad virtual?;Aumentaty;Scope;CoSpaces;Chromeville;3
¿Cuál de los siguientes softwares requiere de la aplicación Scope para visualizar el resultado final en RA?;Chromeville;Aumentaty;Zappar;CoSpaces;2
