pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Herramienta de autor que permite crear contenido digital para subirse a un LMS en formato SCORM:;Exelearning;Audacity;Pixlr;GIMP;1
¿Qué es un SCORM?;Lenguaje de Hipertexto;Extensión de paquetes;Estándar para el intercambio de contenidos;Documento que se importa en PDF;3
Los paquetes SCORM están comprimidos en un ZIP que suele contener:;Recursos pdf, doc, AVI, PPT, etc.;Esquema XML;El manifiesto o archivo XML de estructura y metadatos;Todas las anteriores;4
Las características de las herramientas de autor son...;Alta compatibilidad;Facilita el diseño pedagógico;Automatización de tareas;Interfaz intuitiva y flexible;1,2,3,4
¿Cuál de estas aplicaciones es una herramienta de autor?;Gimp;Audacity;Exelearning;Tinkercad;3
Esta versión se caracteriza por ser compatible con diseños responsive (adaptables a dispositivos móviles):;HTML5;Scartch;HTML;PHP;1
Una herramienta de autor permite:;Escribir hipertexto y crear contenidos para un LMS;Compartir contenidos de la web;Crear sitios web;Crear videos y editarlos;1
Una herramienta de autor permite:;Escribir hipertexto y crear contenidos para un LMS;Compartir contenidos de la web;Crear sitios web;Crear videos y editarlos;1
La herramienta de autor requiere mucha expertice por parte del profesor para crear contenidos:;Falso;Verdadero;;;1
Moodle admite...;Paquetes SCORM;Documentos PDF, Word, PPT, videos, etc.;Librerías LTI;Todas las anteriores;4
En HTML la marca <H1> representa...;el cuerpo de la página web;el título de la página;el encabezado para textos;el inicio de la página web;3
Etiqueta imprescindible para crear una página web:;<HTML>;<TITLE>;<H1>;<BODY>;1
