pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Un podcast solo contempla la grabación de un texto;Falso;Verdadero;ambas;ninguna;1
Son programas grabados en formato MP3 y compartidos en las plataformas digitales, como piezas de audio descargables acerca de un tema.;Ninguno;Podcast;Audiolibro;Radio educativa;2
Implica tres fases: Planificación, Producción y Emisión, nos referimos a...;Ninguno;Podcast;Audiolibro;Radio educativa;4
Es un breve guion de grabación o creación de audios;Ninguno;Radio educativa;Escaleta;Podcast;3
Algunos programas que nos permiten editar audios son...;Assemblr;Cospaces;Zotero;Audacity;4
Cuando deseamos publicar en la web nuestros Podcast podemos hacer uso de...;Spotify;Ivoox;Soundcloud;Spreaker;1,2,3,4
Es una historia narrada, normalmente su producción consiste en contar una historia, cuento o novela. Se elabora un storytelling.;Audiolibro;Podcast;Ninguno;Radio;1
Algunos formatos de audio son...;BMP;MP3;MPG4;WAV;2,4
La fase de evaluación del Podcast permite;Comprobar que cumple con los criterios de calidad establecidos;Controlar todos los efectos de audio;Controlar que todos los del equipo participaron;Controlar si está publicado;1
¿Cómo puede incorporarse la radio en el aula?;Evaluar programas de radio;Elaborando guiones de radio;Simulación de la radio en el aula;Construir microprogramas;1,2,3,4
¿Qué competencias y habilidades se trabajan a través del audio en una secuencia didáctica?;Escucha;Expresión oral;Colaboración;Imaginación/Interpretación;1,2,3,4
