pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué se debe hacer para mitigar los sesgos algorítmicos en los sistemas de IA educativa?;Evitar cualquier tipo de revisión o auditoría de los algoritmos;Asegurar que los datos de entrenamiento sean diversos y representativos;Utilizar datos homogéneos para todos los estudiantes;No aplicar criterios éticos en los datos de entrada;2
¿Cuál de las siguientes afirmaciones describe mejor un impacto positivo de la IA en la educación?;La IA permite personalizar el aprendizaje adaptando contenidos a necesidades individuales;La IA reduce las oportunidades de acceso a la educación;La IA genera una mayor cantidad de tareas administrativas para los docentes;La IA sustituye completamente al docente en el aula;1
¿Qué ocupaciones están en mayor riesgo de automatización según el informe de la OCDE 2023?;Profesionales del sector legal y de servicios financieros;Negocios, educación, y administración pública;Trabajos en construcción, extracción, transporte y mantenimiento;Profesionales sanitarios y del ámbito educativo;3
¿Cuál es uno de los objetivos principales de la Ley de Inteligencia Artificial aprobada por el Parlamento Europeo en 2024?;Garantizar que la IA sea segura, transparente y no discriminatoria;Permitir el uso de la IA sin restricciones en cualquier ámbito;Evitar el uso de IA en sectores educativos por sus riesgos éticos;Sustituir las leyes de protección de datos por normas de IA;1
¿Qué función cumple la hipertextualidad en los recursos educativos?;Permite al usuario seleccionar y ampliar información relevante mediante enlaces;Facilita la generación automática de contenido sin necesidad de enlaces;Restringe el acceso a información adicional para evitar distracciones;Aumenta la dificultad lectora mediante navegación no lineal;1
¿Por qué es importante considerar la accesibilidad en los contenidos generados por IA en la educación?;Para asegurar que los contenidos se adapten a estudiantes con diversas capacidades y orígenes;Para limitar el acceso a la IA solo a estudiantes con necesidades especiales;Para evitar la creación de contenidos personalizados para diferentes estudiantes;Para cumplir únicamente con requisitos legales sin modificar los contenidos;1
¿Qué medidas propone la Guía del Ministerio de Educación para la educación en IA?;Limitar el uso de IA solo a fines administrativos;Enseñar para la IA, sobre la IA y con la IA en el entorno educativo;Sustituir completamente a los docentes con sistemas de IA;Utilizar IA únicamente en asignaturas tecnológicas;2
¿Cómo puede el aprendizaje adaptativo basado en IA mejorar la educación?;Limitar el acceso a recursos educativos a los estudiantes más avanzados;Generando automáticamente exámenes y cuestionarios sin intervención docente;Adaptando los materiales y actividades educativas a las necesidades específicas de los estudiantes;Uniformando el contenido para todos los alumnos sin excepción;3
¿Cuál es una característica clave de un recurso educativo multimedia de calidad?;La exclusividad en el uso de texto escrito para mantener la simplicidad;La integración de solo videos para facilitar el proceso de aprendizaje;La combinación de texto, sonido, imagen y video para una enseñanza más efectiva;El uso exclusivo de imágenes interactivas sin contexto textual;3
¿Qué impacto ambiental podría tener el uso de TIC y la IA generativa en la creación de contenidos educativos?;Reducir el impacto ambiental mediante el uso de materiales ecológicos;Eliminar por completo la generación de residuos tecnológicos;Contribuir hasta el 23% de las emisiones globales de gases de efecto invernadero;Aumentar el reciclaje de dispositivos electrónicos en el entorno escolar;3
