pregunta;opcion1;opcion2;opcion3;opcion4;correcta
El diseño instruccional es la acción de trasladar una secuencia de aprendizaje a un entorno digital:;Falso;Verdadero;ambas;ninguna;2
El diseño instruccional responde a la necesidad de asegurar una correcta secuencia pedagógica en la creación de materiales didácticos digitales:;Verdadero;Falso;ambas;ninguna;1
Los profesores con competencias para crear materiales mediante las TIC podrán desenvolverse en:;la modalidad mixta;la modalidad presencial;la modalidad virtual;Todas son correctas;4
Modelo en el que los alumnos o las alumnas construyen el conocimiento a partir del conocimiento previo, con metodologías activas (ABP, ABPr, etc.) y el profesor es un guía:;Cognitivista;Constructivista;Conductista;Conectivista;2
Nace con un enfoque puramente digital y donde el aprendizaje se establece como la conexión de fuentes de información:;Conductista;Constructivista;Conectivista;Cognitivista;3
Modelo que plantea 9 pasos entre ellos: Creación de contenidos, presentar un programa, plantear actividades, crear canales de comunicación, hacer seguimiento, motivar al alumnado...;Gagné y Briggs;ADDIE;ASSURE;Gagné;4
Modelo más usado en el diseño instruccional, cuyas fases son: Análisis, diseño, desarrollo, implementación y evaluación:;ADDIE;Gagné y Briggs;ASSURE;Gagné;1
El modelo que tiene el principio de centralidad de la tarea con instrucción progresiva para que el alumno vaya superando retos cada vez más complejos, es...;ADDIE;ASSURE;Gagné;Merrill;4
Este modelo está basado en el método constructivista centrado en el aprendizaje personalizado y cuenta con seis fases de desarrollo:;Gagné;Merrill;ASSURE;ADDIE;3
Según Broderick (2001) el diseño instruccional se define como:;Disciplina que fomenta cambios en las habilidades y conocimientos del estudiante;Planificación y preparación de contenidos para el PEA;Proceso que promueve al alumno un cambio en el comportamiento.;Ciencia que crea contenidos y un entorno instruccional para el desarrollo de competencias;4
El diseño instruccional donde el profesor transmite conocimientos de forma unidireccional y la repetición de las actividades es la forma de aprender, se trata de un:;Modelo Conductista;Modelo Constructivista;Modelo Conectivista;Modelo Cognitivista;1
El diseño instruccional donde el profesor transmite conocimientos de forma unidireccional y la repetición de las actividades es la forma de aprender, se trata de un:;Modelo Conductista;Modelo Constructivista;Modelo Conectivista;Modelo Cognitivista;1
