pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Bajo qué principios pedagógicos se puede definir el diseño instruccional?;Conductistas, cognitivistas y constructivistas.;Conductistas, cognitivistas, constructivistas y metacognitivistas.;Conexionistas, constructivistas, metacognitivistas y conductistas.;Conductistas, cognitivistas, constructivistas, metacognitivistas y conectivistas.;4
Bloom (1956) y su respectiva taxonomía del aprendizaje favorece la jerarquización de los procesos cognitivos. ¿Qué acciones definen el proceso según Anderson y Krathwohl (2001)?;Recordar, analizar, integrar, implementar y difundir.;Recordar, comprender, aplicar, analizar y evaluar.;Investigar, seleccionar, analizar y evaluar.;Recordar, comprender, seleccionar, analizar y evaluar.;2
En un escenario de aprendizaje a distancia, ¿qué acciones se desarrollan según la Taxonomía de Bloom?;Recordar, comprender, aplicar y analizar.;Comprender, aplicar, analizar y crear.;Recordar, aplicar y analizar.;Recordar y comprender.;1
¿Qué rol ejerce el docente aplicando un modelo instruccional constructivista?;Fomentar la automotivación.;Presentar los contenidos instruccionales y compartirlos con los alumnos.;Dirigir el aprendizaje en el aula y evaluar los resultados observables.;Ejerce como mediador y guía, asiste y apoya al alumno a lo largo de su proceso de aprendizaje.;4
¿Qué instrumentos se integran en el diseño instruccional metacognitivo?;La entrevista, la encuesta y el cuestionario.;El cuestionario, el portafolio educativo y el resumen.;El cuestionario, la entrevista y el resumen.;La entrevista, el portafolio educativo y el resumen.;2
¿Qué debe saber hacer un docente para crear contenidos digitales como buen diseñador instruccional?;Competencias digitales;Conocimientos acerca del tema que va a desarrollar.;Competencias digitales, conocimientos acerca de sus calidades y formatos, el tiempo que conlleva desarrollar los materiales, habilidades para implementar las diversas metodologías y conocimientos acerca del método de evaluación.;Habilidades para investigar, analizar y diseñar materiales, conocimientos acerca del tema a tratar y los procesos de implementación.;3
Jonassen (1999) estableció un modelo instruccional basado en aprender haciendo. ¿En qué corriente pedagógica se enmarca?;Conductista;Constructivista;Conectivista;Metacognitiva;2
¿De qué fases se compone el modelo ADDIE?;Análisis, Desarrollo, Dedicación, Integración y Evaluación;Análisis, Diseño, Desarrollo, Implementación y Evaluación;Ampliación, Diseño, Desarrollo, Integración y Evaluación;Análisis, Diseño, Desarrollo, Innovación y Evaluación;2
¿Cuáles son los niveles del modelo de Briggs y Gagné (1992)?;Nivel de sistema, desarrollo, implementación y evaluación;Nivel de búsqueda, desarrollo, integración y difusión;Nivel de búsqueda, análisis, implementación y evaluación;Nivel de sistema, curso, lección y sistema final;1
¿Cuáles son los cinco principios de instrucción según David Merrill (2007)?;Principio del problema, de la búsqueda, análisis, desarrollo y evaluación;Principio de centralidad de la tarea, análisis, desarrollo, aplicación y evaluación;Principio de centralidad de la tarea, activación, demostración, aplicación e integración;Principio de activación, demostración, desarrollo, aplicación e integración;3
