pregunta;opcion1;opcion2;opcion3;opcion4;correcta
La impresora 3D es una máquina que a través de una técnica específica, procede a la fabricación de piezas mediante la superposición de capas de material (filamentos de plástico u otro) a una temperatura que supera los 200ºC. ¿Cuáles son los tipos de impresora 3D más habituales?;Impresoras láser, impresoras industriales y polar;Impresora Delta y cartesiana;Impresoras FDM, SLA y SLS;Impresoras FDM y SLA;3
¿Qué filamento es el más recomendado y el más usado en el ámbito educativo, caracterizado por ser biodegradable?;ABS;PET;HIPS;PLA;4
El proceso de impresión en 3D conlleva varias fases, una de estas etapas fundamentales es el slicing que consiste en:;El software de diseño;El proceso de impresión.;La parametrización, la acción de transformar la acción en código.;El proceso de secado de la figura impresa.;3
La impresora 3D se compone a nivel de estructura de unos elementos básicos. ¿Cuál de los siguientes NO forma parte de su composición?;Extrusor;Ventilador;Sensor de crash;Tóner de impresión;4
¿Cuál de las siguientes herramientas NO se considera un software de creación de diseños en 3D?;SketchUp;Thingiverse;Cura;OpenSCAD;2
¿Cuáles son las herramientas principales que conforman un Fab Lab?;Impresora 3D, Cortadora Láser, Cortadora de vinilo y router;Impresora 3D, filamento, softwares, repositorios de diseños;Escáner 3D, Impresora 3D, Cortadora Láser, Cortadora a chorro de agua, Cortadora de vinilo y Router CNC;Impresora 3D, Lego y Arduino;3
¿Cuál de las siguientes metodologías es aplicada en un proceso de aprendizaje Maker?;Método Montessori;Aprendizaje basado en Proyectos;Aprendizaje basado en competencias;Aprendizaje cognitivo;2
¿Qué concepto define el aprendizaje en los makerspace?;Game Based Learning;Do It Yourself;Blended Learning;Mobile Learning;2
¿Cuál de las siguientes herramientas NO forma parte de un espacio de aprendizaje Maker?;Impresoras 3D;Lego;Arduino;Repositorios de contenidos digitales;4
El aprendizaje Maker contribuye a la construcción de una sociedad del conocimiento y al desarrollo del pensamiento creativo. ¿Cuáles son las acciones que destaca Resnick (2007) en su espiral del pensamiento creativo?;Imaginar, construir, desarrollar, crear, presentar;Imaginar, crear, jugar, compartir, reflexionar, imaginar;Imaginar, analizar, desarrollar, crear;Crear, desarrollar, reflexionar, compartir;2
