pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Plataforma en la que podremos crear realidad virtual y gestionar clases:;CoSpaces;Thingiverse;Merge Cube;Assemblr;1
Plataforma en las que podremos crear realidad aumentada:;CoSpaces;Merge Cube;Assemblr;Thingiverse;3
En qué nivel de la realidad aumentada está el QR:;Nivel 1;Nivel 2;Nivel 3;Nivel 0;4
La RA que usa la geolocalización para establecer puntos de interés, pertenece al ...;Nivel 1;Nivel 0;Nivel 2;Nivel 3;3
La RA que usa marcadores para ser activada, pertenece al ...;Nivel 0;Nivel 1;Nivel 3;Nivel 2;2
La realidad aumentada usa habitualmente:;Objetos 3D;Imágenes;Videos;Audios;1,2
Permite interactividad y un aprendizaje inmersivo en espacios creados por ordenador, nos referimos a...;Ninguna es correcta;Realidad virtual;Impresión 3D;Realidad aumentada;2
La Realidad Virtual y Aumentada tiene un enfoque:;Constructivista;Conductista;Metacognitivo;Cognitivista;1
Es un espacio donde se tiene cuatro superficies de proyección para la inmersión y requiere que el usuario use gafas, nos referimos a...;Ninguna es correcta;CAVE;Dispositivos sensoriales;Gafas HMD;2
La Realidad Aumentada permite al alumnado:;Ver objetos 3D en un entorno inmersivo y digitalizado;Actividades totalmente inmersivas;Combinar lo real y virtual para crear una nueva realidad;Combinar el mundo real con recursos digitales;4
