pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué herramienta gratuita se recomienda para crear un Breakout?;Toontastic;Classdojo;Genially;Google Sites;3
¿Qué enfoque metodológico plantea el Breakout EDU?;Aprendizaje a través de la Web;Experiencia de aprendizaje basada en el juego;Enfoque metodológico constructivista;Enfoque cognitivo;2
¿Qué escenario plantea un breakout con un camino abierto?;Plantea un solo camino, el avance en el juego se consigue superando cada uno de los retos planteados.;Plantea un escenario multisecuencial que ofrece al aprendiz múltiples opciones para completar el juego.;Se plantea un escenario que presenta de forma simultánea varios caminos con retos y pruebas que desembocan en el mismo resultado final.;Plantea un escenario con retos y rompecabezas a resolver hasta llegar a obtener el premio.;3
¿En qué categorías pueden clasificarse las actividades en un Paisaje de Aprendizaje?;Actividades dinámicas y estándar;Retos y desafíos;Interactivas, participativas y reflexivas;Optativas, obligatorios y voluntarias;4
¿Qué fases conlleva abrir la caja del Breakout EDU?;Diseño, planificación y desarrollo;Resolución del desafío y prueba de combinación;Presentación del desafío, la solución es la combinación, la recompensa el contenido de la caja;Planteamiento de la actividad y resolución del reto;3
¿En qué consisten los badges?;Tablas de clasificación por puntuación;Sistema de insignias;Premios otorgados por logros alcanzados;Iconos para identificar los logros en los juegos;2
¿A qué contribuye la gamificación y el aprendizaje basado en el juego?;A fomentar el entretenimiento;A fomentar la motivación;A la distracción del alumno;A la competitividad;2
¿Cuál de los siguientes elementos resulta fundamental en la construcción de un Paisaje Digital de Aprendizaje?;El entorno web;El audio;La imagen interactiva;El vídeo;3
¿En qué etapa se materializa de forma interactiva un Paisaje de Aprendizaje?;Análisis;Dispositivos de audio;Digitalización;Desarrollo;3
¿Cuál de las siguientes herramientas permite al docente crear actividades y otorgar al alumno recompensas?;Makebadges;Classcraft;Badge Designer;Genially;2
