pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Cuando usamos imágenes debemos atender a:;Crear cursos llamativos;Enriquecer el entorno de aprendizaje;Fomentar la comprensión;Selección/creación en base a los objetivos;2,3,4
Las imágenes contribuyen a:;Motivación;Comprensión de conceptos;Profundización de conocimientos;Estimular imaginación;1,2,3,4
¿Qué elemento de la imagen hace referencia a las características de: ilustración, fotografía, animación, etc.?;Ninguna es correcta;Función comunicacional;Función cognitiva;Superficie;4
Elemento de la imagen que ilustra las relaciones, que pueden ser: decorativa, organizacional, etc.;Ninguna es correcta;Superficie;Función cognitiva;Función comunicacional;4
La animación es una tipología de imagen que se define como:;Representan la realidad a través de software (Tridimensionales).;Imagen Seleccionadas o capturadas;Secuencia de imágenes que simulan movimiento;Representación de elementos creados por programas (tablas, diagramas, etc.).;3
La animación es una tipología de imagen que se define como:;Representación de elementos creados por programas (tablas, diagramas, etc.).;Representan la realidad a través de software (Tridimensionales).;Secuencia de imágenes que simulan movimiento;Imagen Seleccionadas o capturadas;3
Imágenes que sirven para mostrar señales para construir mensajes.;Organizacional;Representativa;Mnemónica;Decorativa;3
Imágen a través de la cual se relacionan elementos cuantitativos de más de dos variables. Gráfico o esquema;Mnemónica;Organizacional;Relacional;Decorativa;3
Los formatos de las imágenes digitales:;MP3;PNG;JPEG;GIF;2,3,4
La función cognitiva de la imagen es...;Transferencia del aprendizaje;Reducir carga cognitiva;Activar conocimientos previos;Atención;1,2,3,4
¿Qué programa podemos usar para editar imágenes online?;Pixlr;Prezi;Gimp;Genially;1
