pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué tipo de interactividad está ligada a los contenidos transmitidos?;Mixta;Transformativa;Selectiva;Constructiva;3
Se trata de aquellos individuos que consumen información para existir;Prosumidores;Inmigrantes digitales;Infornívoros;Nativos digitales;3
¿Qué determina el nuevo entorno digital?;La linealidad y asimetría;La cultura de participación;El carácter homogéneo;Los modelos de producción cerrados;2
¿Cuál es el tándem perfecto a la hora de comunicar, difundir y evaluar conocimientos en el aula?;Entornos de colaboración y contenido textual;Narrativa digital y entornos de colaboración;Narrativa audiovisual y entornos de colaboración;Narrativa audiovisual y animación;2
¿Qué es hipermedia?;Combinación de sonido e imagen;Nueva herramienta informática;Estructura de metaprendizaje;Espacio de interacción y de mediaciones;4
¿Qué es la convergencia mediática?;Transformación del ecosistema digital en transmedia;Transformación de los medios de comunicación tradicionales a causa del nacimiento de la tecnología digital;Transformación de los métodos de aprendizaje en la escuela;Transformación de las habilidades y capacidades del consumidor en la era digital;2
¿Qué son las webseries?;Producciones realizadas a través del uso de una cámara estática;Ficción televisiva con un tratamiento audiovisual sencillo;Contenidos exclusivamente para la Web;Entornos de colaboración digital;3
Unión de dos o más mundos narrativos, mezclando tramas, personajes, etc.;Recapitulaciones;Opening;Mashups;Adaptaciones;3
¿Qué tres criterios son necesarios para conseguir una correcta interactividad?;Complejidad del diálogo, tiempo de respuesta y soporte digital;Tiempo de respuesta, soporte digital y calidad de los resultados;Tiempo de respuesta, calidad de los resultados y complejidad del diálogo;Calidad de los resultados, complejidad del diálogo y soporte digital;3
¿Cuál es la perfecta combinación para conseguir un producto multimedia?;Sonido + gráficos + animación;Sonido + texto + gráficos;Sonido + imagen + gráficos;Sonido + animación + imagen;1
¿Qué tipos de narración interactiva ofrece al usuario la posibilidad de interactuar en un mismo mundo virtual?;Narrativas de historias paralelas;Narrativas de entornos variables;Narrativas de aventuras-mundo;Narración de varios jugadores;4
¿Cómo se explica la autoetnografía?;Técnica de reflexión y autoevaluación en referencia a la participación e implicación en los procesos de aprendizaje;Soporte narrativo que vislumbra una posibilidad de incorporar actividades a nivel académico;Descripción de la escena cultural en la que participan, haciendo uso de texto, sonido, imágenes en movimiento, etc.;Diseño educativo basado en el concepto de multimedialidad;3
¿Qué relación, hasta ahora asimétrica, se ha fisurado con la inclusión de los contenidos digitales en las nuevas formas de narrar?;Producto y entorno comunicativo;Productor y usuario;Usuario y contenido;Contenido y soporte;2
¿Por qué se caracteriza el hipertexto?;Linealidad;Relación de orden;Asimetría;No linealidad;4
El lector puede modificar la historia a través de la autonomía compartida por varios usuarios;Hiperficción participativa;Hiperficción selectiva;Hiperficción explorativa;Hiperficción constructiva;4
¿Quién instauró el término de «prosumidor»?;McLuhan y Nevitt;Toffler;Jenkins;Cebrián;1
¿En qué se diferencia el consumidor tradicional del nuevo «prosumidor»?;Observador y consumidor de contenidos;Productor y observador de contenidos;Consumidor y productor de contenidos;Consumidor y formador de contenidos;3
¿En qué consiste el fenómeno «fan»?;Satisfacción personal de crear un producto propio basado en el mundo narrativo;Organismos que consumen información para existir;Mezclar los diversos recursos que te ofrece la Web con el fin de favorecer la comprensión y apropiación de la historia;Uso de la imagen como instrumento principal para contar historias a través de Internet;1
¿Cuáles son las principales características de los llamados “nativos digitales”?;Adquisición de habilidades digitales en la escuela;Falta de habilidades digitales;Orden y asimetría;Competencias digitales;4
En el nuevo sistema comunicativo ¿En qué se convierte el consumidor de contenidos?;Vinculador;Observador;Productor;Mediador;3
