pregunta;opcion1;opcion2;opcion3;opcion4;correcta
Según los teóricos del cine, existen tres tipos de tiempos narrativos. ¿Cuáles son?;Tiempo de enunciación y tiempo del discurso;Tiempo de proyección, de percepción y de acción;Tiempo externo e interno;Tiempo de percepción y tiempo del discurso;2
Señala los cuatro elementos esenciales que componen la acción narrativa.;Hecho, Discurso y Acción narrativa;Hecho, Discurso y Acto;Hecho, Acontecimiento, Acto y Acción narrativa;Acontecimientos y Comportamientos;3
La proyección de ideas y focalización ¿A qué variable narrativa pertenece?;Cognitivo;Metafórico;Óptico;Epistémico;1
¿Para qué corriente teórica el personaje es considerado como texto?;Pragmatismo;Estructuralistas;Formalistas rusos;Cognitivistas;2
En el relato, las relaciones entre sujeto-objeto pueden ser variadas. Cuando el sujeto no posee el objeto que desea ¿Cómo denominamos a esta relación?;Relación de no disjunción;Relación de conjunción;Relación de disjunción;Relación de no conjunción;3
¿Qué tipo de narrador es el sujeto de la historia y cuenta su propia historia?;Autodigético;Heterodigético;Homodiegético;Diegético;1
Son aquellos personajes que remiten a la cultura y a unos roles, reconocidos por el narratario, como pueden ser los personajes históricos, mitológicos, etc.;Conectores;Deícticos;Referenciales;Anafóricos;3
El tiempo narrativo ¿Por qué elementos está conformado?;Historia, Duración, Frecuencia;Orden, Frecuencia, Duración;Enunciación, Historia, Discurso;Historia, Discurso;2
Duración dietética de la historia narrada, tiempo en el que se desarrolla la película.;Tiempo de acción;Tiempo de enunciación;Tiempo de percepción;Tiempo de proyección;1
¿Qué perspectivas no estudia al personaje desde el nivel formal?;Como rol;Como actante;Como persona;Como narrador;4
¿En qué consiste la teoría de la audiovisión?;Prescindir de la música, basándose solo en las imágenes de los relatos.;La imagen y el sonido se comprenden como elementos independientes.;Configuración del discurso para depurar y agilizar los elementos del relato audiovisual;Ninguna es correcta;2
Se define como «la apropiación de las posibilidades que ofrece el lenguaje audiovisual para crear el discurso fílmico».;Enunciado;Narrador;Relato;Enunciación;4
Tipología dentro del concepto del espacio narrativo que aporta significado en ámbitos de abstracción y simbolización, configurando espacios psicológicos, sociales, ideológicos y morales.;Orgámico;Homogéneo;Hodológico;Sintético;3
¿Cuáles son los elementos básicos que componen un espacio narrativo?;Decorado y Escenario;Entorno y Atmósfera;Decorado, Ámbito, Escenario, Espacio Narrativo y Entorno;Naturaleza Espacio Narrativo y Ubicación;3
¿Qué tipo de fuente de sonido no forma parte de la narración y tampoco guarda relación física con la proyección de la imagen?;Diegético;Voz en off;Extradiegético;Focalización;3
¿Qué son las anacrónicas?;Desfase entre los hechos en la historia y en el discurs;Salto hacia un tiempo alternativo en el discurso;La distancia que separa el presente del momento pasado o futuro del relato;Ordenación de la historia de forma lógica y secuencial;1
La estructura básica del relato, planteada por Aristóteles, puede desarrollarse de forma desordenada, comenzando, por ejemplo, a narrar por el nudo de la historia. ¿A qué tipo de estructura nos referimos?;In extrema res;Circular;In media res;Contrapunto;3
Poderoso recurso narrativo, gracias a la versatilidad de sus técnicas y su vocación discursiva.;Imagen;Personaje;Música;Escenario;3
Relación entre el movimiento de la cámara y el movimiento del personaje.;Espacio estático/dinámico;Espacio presente/ausente;Espacio hodológico;Espacio orgámico/inorgámico;1
Dentro de las funciones del espacio es «aquella que representa los estados de ánimo de los personajes».;Función expresiva/reflexiva;Función dramática;Función descriptiva;Función atmosférica;1
