pregunta;opcion1;opcion2;opcion3;opcion4;correcta
En la actualidad, con el desarrollo de las tecnologías digitales, la televisión se caracteriza por ser:;Un medio en constante evolución tecnológica;Un medio multifuncional;Un medio lineal y ordenado;Un medio de comunicación social interactivo;4
¿Cuál es el concepto cuya finalidad es motivar al jugador en los videojuegos?;Arcade gamer;Casual gamers;Video gamer;Serious games;4
¿Qué obra fue la precursora de la irrupción de las tecnologías digitales en la gran pantalla?;Tron;Jurassic Park;Toy Story;Star Wars;1
¿Por qué se caracteriza el relato digital?;Estructura fija;Interactividad;No linealidad;Linealidad;2
¿Qué tipo de relato se caracteriza por una historia línea, fija y con un guion preestablecido?;Interactivos;Tradicionales;Secuenciales;Multimedia;3
Hace referencia a la forma en el que el usuario puede acceder a la historia.;Interactividad;Espacio;Estructura;Orden;4
Se define como «disponer de ciertas habilidades que ayuden al individuo a buscar, obtener, procesar y comunicar información con el objetivo de transformarla en conocimiento»;Competencia mediática;Alfabetización informacional;Alfabetización digital;Alfabetización audiovisual;3
La competencia mediática está conformada por seis dimensiones ¿Cuáles corresponden a la alfabetización digital?;Tecnología y Lenguaje;Procesos de producción y difusión;Dimensión estética;Procesos de recepción e interacción;1
¿Qué medio es el precursor del cine dentro de la narrativa audiovisual?;Videojuego;Prensa;Cómic;Televisión;3
Característica de la narrativa digital, relacionada con el poder de almacenamiento y conexión de información con el usuario.;Espacialidad;Enciclopedismo;Participación;Sucesividad;2
En la narración digital, ¿Qué tipo de interacción es aquella en que el espectador se limita a seleccionar entre todas las opciones que se les ofrece?;Interactividad selectiva;Interactividad constructiva;Interactividad transformativa;Interactividad delimitada;1
¿A qué llamamos «universos expandidos»?;Nacimiento de los relatos interactivos a través del uso de Internet.;Evolución de los relatos audiovisuales a los relatos digitales.;Colecciones materiales ligadas a una película a través del uso de otros formatos y soportes mediáticos.;Expansión del mundo multimedia.;3
Para el desarrollo de una narración digital, ¿qué elemento no se ha de tomar en cuenta?;Orden;Estructura;Grado de interactividad;Tiempo;4
¿Qué elementos de la narrativa audiovisual no tienen cabida en el nuevo panorama audiovisual?;Diégesis;Narrador y Mimesis;Secuencia y Diégesis;Mimesis y Diégesis;4
¿Qué tipo de relación convierte a la imagen en una formulación plástica del comportamiento y del concepto gestualizado?;Relación digital;Relación analógica;Relación arbitraria;Relación virtual;4
¿Cuáles son los tres modelos más relevantes de la narrativa digital utilizados en educación?;Infografías;Novelas gráficas;Narrativa personal, Documentales y Relatos Digitales;Vídeos digitales;3
La Web permite compartir información y producir conocimiento desde el punto de vista del usuario, estableciendo un nuevo concepto en la construcción de la información.;Multinarrativa;Multimedialidad;Multitextualidad;Multiexpresividad;4
Las nuevas pantallas, ¿Por qué tipo de retroalimentación se caracterizan?;Interactiva;Unidireccional;Bidireccional;Multimedia;1
¿Qué sujeto (personaje digital) se define como un estado anterior a la adquisición de la competencia narrativa?;Sujeto lineal;Sujeto virtual;Sujeto actualizado;Sujeto realizado;2
Dentro de la estructura no lineal del diseño narrativo, hay un modelo de estructura que se caracteriza por escenas con diferentes opciones a seleccionar y que conducen a múltiples sucesos.;Mixta;Paralelas;Ramificada;Circular;3
