pregunta;opcion1;opcion2;opcion3;opcion4;correcta
¿Qué dimensión evalúa la elaboración de un story-board?;Didáctica;Digital;Narrativa;Creativa;2
¿Qué término se define como «la habilidad para leer, escribir e interactuar en un amplio rango de plataformas, herramientas y medios»?;Convergencia mediática;Alfabetización digital;Transliteracy;Alfabetización audiovisual;3
¿Cómo se llama a la nueva estructura de un relato digital?;Paradigma narrativo;Paradigma tripartito;Paradigma del ciclo heroico;Paradigma del héroe;3
¿Qué es un tagging?;Modelo digital;Modelo de aprendizaje;Modelo cualificativo;Modelo narrativo;3
¿Qué tipo de proyecto es la película «El caballero oscuro»?;Multimedia;Crossmedia;Transmedia;Multiplataforma;2
¿Cuál es la forma de aprendizaje, donde el alumno adquiere sus conocimientos por la comunicación entre pares?;Aprender interactuando;Aprender compartiendo;Aprender haciendo;Aprender buscando;1
Señala un ejemplo de narrativa transmedia;Siempre a tu lado;Supermán;Kingsman;El Rey Arturo;2
Una historia en distintas plataformas;Transmedia;Crossmedia;Multimedia;Multiplataforma;4
¿Qué faceta evalúa las competencias y valores desarrollados por un relato?;Didáctica;Digital;Narrativa;Creativa;1
Presenta la característica de que el usuario participa y produce de forma activa;Crossmedia;Transmedia;Multiplataforma;Multimedia;2
Señala qué dimensión de la Web 2.0 se ha convertido en un espacio público de interacción;Redes sociales;Entornos virtuales;Biblioteca universal;Mercado global;1
¿Cuál es la herramienta utilizada en el aula para desarrollar un «digital storytelling» que está relacionada con las narraciones de variada temática?;Historias informativas;Narrativas informativas;Narrativas personales;Historias de eventos históricos;1
Forma de aprendizaje en el que los estudiantes intercambian experiencias a través de vídeos educativos;Aprender compartiendo;Aprender buscando;Aprender haciendo;Aprender interactuando;1
¿De dónde son característicos los universos expandidos?;Plataforma web;Multimedia;Multiplataforma;Crossmedia;4
¿Qué actividad 2.0 permite construir conocimiento, opiniones y reflexiones?;Redes Sociales;Google maps;Blog;RSS;3
¿Qué fenómeno permite conectar los ordenadores de los usuarios de forma directa?;Tag;Hosting;Napster;Peer-topeer;3
¿Por qué se caracteriza la narrativa transmedia?;Narrativa lineal;Contenido estático;Modalidad on-line;Sociedad participativa;4
¿Qué es la Web 2.0?;Programa informático;Entorno de estático;Softaware social;Modelo narrativo;3
¿En qué parte del relato el personaje se ve expuesto a una serie de pruebas, aplicando los conocimientos de aprendizaje adquirido?;Iniciación;Separación;Retorno;Contexto;1
¿Cuál es la nueva estructura de un relato digital según Campbell?;Inicio, nudo y desenlace;Separación, crisis y retorno;Contexto, crisis, cambio y conclusión;Separación, iniciación y retorno;4
