Pregunta,Respuesta correcta,Justificación (según el documento),Información de las opciones incorrectas
¿Qué dimensión evalúa la elaboración de un story-board?,Narrativa,"La elaboración del story-board se encuadra dentro de la dimensión narrativa, ya que implica la organización de escenas, tramas y secuencias visuales.","• Didáctica: se enfoca en competencias y valores.
• Digital: relacionada con herramientas tecnológicas.
• Creativa: potencia el diseño, pero no evalúa la estructura narrativa."
"¿Qué término se define como «la habilidad para leer, escribir e interactuar en un amplio rango de plataformas, herramientas y medios»?",Transliteracy,"Transliteracy implica una competencia transversal para manejarse en múltiples lenguajes y plataformas, abarcando medios digitales, impresos, audiovisuales y redes.","• Alfabetización digital: limitada al ámbito tecnológico.
• Alfabetización audiovisual: centrada en imagen y sonido.
• Convergencia mediática: proceso, no habilidad."
¿Cómo se llama a la nueva estructura de un relato digital?,Paradigma del ciclo heroico,La estructura transmedia adopta el ciclo heroico de Campbell como base para construir relatos que involucren al usuario de forma participativa.,"• Paradigma narrativo o tripartito: referencias clásicas.
• Paradigma del héroe: nombre incorrecto del modelo."
¿Qué es un tagging?,Modelo cualificativo,"El documento define el tagging como un modelo cualificativo que permite categorizar contenidos mediante etiquetas, facilitando su clasificación y recuperación.","• Modelo narrativo: confunde el uso funcional con la estructura del relato.
• Modelo digital o de aprendizaje: términos genéricos no relacionados directamente con el concepto específico de tagging."
¿Qué tipo de proyecto es la película «El caballero oscuro»?,Crossmedia,"El caballero oscuro es un proyecto crossmedia porque se presenta en diferentes plataformas, pero el contenido no se expande sino que se adapta.","• Transmedia: implicaría expansión narrativa.
• Multimedia: enfoque en distintos tipos de medios juntos.
• Multiplataforma: distribución, no contenido."
"¿Cuál es la forma de aprendizaje, donde el alumno adquiere sus conocimientos por la comunicación entre pares?",Aprender interactuando,"El aprendizaje entre pares se basa en la interacción directa y horizontal entre los alumnos, donde comparten, debaten y construyen conocimiento.","• Aprender compartiendo: similar pero más pasiva.
• Aprender haciendo: aprendizaje práctico.
• Aprender buscando: exploración individual."
Señala un ejemplo de narrativa transmedia,Supermán,Supermán es un claro ejemplo de narrativa transmedia por su expansión en múltiples medios con elementos nuevos en cada uno.,"• Kingsman, El Rey Arturo, Siempre a tu lado: no presentan la expansión narrativa en múltiples plataformas como Supermán."
Una historia en distintas plataformas,Multiplataforma,El término multiplataforma hace referencia a la distribución de una misma historia en diferentes medios sin modificar el contenido.,"• Transmedia y crossmedia implican distintos niveles de adaptación o expansión.
• Multimedia: combina distintos medios en un solo producto."
¿Qué faceta evalúa las competencias y valores desarrollados por un relato?,Didáctica,"La dimensión didáctica se enfoca en los aprendizajes, valores y competencias desarrolladas a través de la narrativa.","• Digital: relacionada con lo técnico.
• Narrativa: estructura del relato.
• Creativa: diseño e innovación."
Presenta la característica de que el usuario participa y produce de forma activa,Transmedia,La narrativa transmedia permite a los usuarios no solo consumir sino también crear contenido en el universo narrativo.,"• Crossmedia, multiplataforma, multimedia: el usuario es receptor, no creador."
Señala qué dimensión de la Web 2.0 se ha convertido en un espacio público de interacción,Redes sociales,"Las redes sociales representan el lugar por excelencia de interacción pública, colaboración y participación del usuario.","• Entornos virtuales, biblioteca universal, mercado global: no están centrados en la interacción social abierta."
¿Cuál es la herramienta utilizada en el aula para desarrollar un «digital storytelling» que está relacionada con las narraciones de variada temática?,Historias informativas,Este tipo de narrativas digitales se usa para tratar temáticas variadas y divulgar información con base en hechos.,"• Narrativas personales, eventos históricos: enfoques más específicos.
• Narrativas informativas: denominación incorrecta."
Forma de aprendizaje en el que los estudiantes intercambian experiencias a través de vídeos educativos,Aprender compartiendo,"Se basa en compartir experiencias personales o académicas, fomentando el aprendizaje colaborativo mediante vídeos.","• Aprender buscando, haciendo o interactuando: otras metodologías con foco distinto."
¿De dónde son característicos los universos expandidos?,Crossmedia,La crossmedia permite que los relatos se expandan de forma complementaria a través de diversos canales.,"• Multiplataforma, multimedia o web: no implican desarrollo narrativo en profundidad."
"¿Qué actividad 2.0 permite construir conocimiento, opiniones y reflexiones?",Blog,"El blog es una herramienta participativa donde el usuario expresa ideas, comparte reflexiones y genera diálogo.","• Redes sociales: interacción breve.
• Google Maps y RSS: no son plataformas discursivas."
¿Qué fenómeno permite conectar los ordenadores de los usuarios de forma directa?,Napster,Napster fue pionero en el uso del modelo peer-to-peer para compartir archivos directamente entre usuarios.,"• Hosting: alojamiento web.
• Tag: etiquetado.
• Peer-to-peer: es el modelo, no el fenómeno ejemplar."
¿Por qué se caracteriza la narrativa transmedia?,Sociedad participativa,"En la narrativa transmedia, el usuario se convierte en prosumidor y contribuye activamente en la construcción del relato.","• Linealidad, contenido estático, modalidad online: son propias de formatos tradicionales."
¿Qué es la Web 2.0?,Softaware social,Se trata de un entorno dinámico donde el usuario genera contenido y participa activamente en redes.,"• Programa informático o modelo narrativo: definición errónea.
• Entorno estático: se refiere a la Web 1.0."
"¿En qué parte del relato el personaje se ve expuesto a una serie de pruebas, aplicando los conocimientos de aprendizaje adquirido?",Iniciación,En la fase de iniciación el protagonista debe enfrentarse a retos que ponen a prueba su transformación.,"• Separación: inicio del viaje.
• Retorno y contexto: etapas posteriores o complementarias."
¿Cuál es la nueva estructura de un relato digital según Campbell?,"Separación, iniciación y retorno",Es la estructura clásica del viaje del héroe adaptada a la narrativa digital en entornos educativos.,• Otras estructuras mencionan elementos incompletos o no responden al modelo de Campbell.
