Pregunta,Respuesta correcta,Justificación (según el documento),Información de las opciones incorrectas
Se define como «la apropiación de las posibilidades que ofrece el lenguaje audiovisual para crear el discurso fílmico».,Enunciación,"Según la página 3, la enunciación es el acto de apropiación del lenguaje audiovisual para construir el discurso fílmico.","• Relato: es el resultado, no el proceso.
• Narrador: quien ejecuta la enunciación, pero no lo define.
• Enunciado: es el producto del acto de enunciación."
¿Qué son las anacrónicas?,Desfase entre los hechos en la historia y en el discurso,En la página 7 se define como anacronía la discordancia temporal entre la historia y su presentación en el discurso.,"• Salto hacia un tiempo alternativo: impreciso, se refiere más bien a analepsis o prolepsis.
• Ordenación lógica: corresponde a una narrativa cronológica.
• Distancia entre presente y pasado: alude a la duración o elipsis, no anacronía."
¿Qué tipo de fuente de sonido no forma parte de la narración y tampoco guarda relación física con la proyección de la imagen?,Voz en off,"En la página 14, se explica que la voz en off es un recurso extradiégetico que no está ligado físicamente a la imagen.","• Diegético: sí forma parte del universo narrativo.
• Focalización: es una categoría de visión, no de sonido.
• Extradiegético: puede incluir música o efectos, pero no siempre implica voz en off."
La proyección de ideas y focalización ¿A qué variable narrativa pertenece?,Metafórico,"En la página 12 se detalla que la variable metafórica se asocia con la carga simbólica, ideológica o focal de la imagen.","• Óptico: se refiere al punto de vista visual.
• Epistémico: al conocimiento del narrador.
• Cognitivo: a la interpretación del espectador."
¿Qué perspectivas no estudia al personaje desde el nivel formal?,Como persona,"En la página 10 se explica que el nivel formal analiza al personaje como actante, rol o narrador, pero no como persona real.","• Como narrador: sí se estudia desde el nivel formal.
• Como rol: categoría formal que representa una función.
• Como actante: parte del análisis estructural."
¿Cuáles son los elementos básicos que componen un espacio narrativo?,"Decorado, Ámbito, Escenario, Espacio Narrativo y Entorno","Según la página 17, el espacio narrativo se compone de estos cinco elementos básicos que configuran su representación audiovisual.","• Decorado y Escenario: incompleto, solo dos componentes.
• Entorno y Atmósfera: términos complementarios pero no estructurales.
• Naturaleza Espacio Narrativo y Ubicación: confusión de categorías."
¿Qué tipo de narrador es el sujeto de la historia y cuenta su propia historia?,Autodigético,En la página 6 se explica que el narrador autodiegético es quien narra en primera persona su propia historia.,"• Heterodiegético: narra en tercera persona, no participa.
• Diegético: término ambiguo, necesita precisión.
• Homodiegético: narra en primera persona, pero no siempre su propia historia."
"Poderoso recurso narrativo, gracias a la versatilidad de sus técnicas y su vocación discursiva.",Música,"La música, según la página 14, es un recurso expresivo con alta capacidad simbólica, emotiva y estructurante del discurso audiovisual.","• Imagen: fundamental pero no siempre discursiva.
• Escenario: parte del espacio narrativo, no recurso narrativo en sí.
• Personaje: elemento diegético, no recurso discursivo versátil."
"Son aquellos personajes que remiten a la cultura y a unos roles, reconocidos por el narratario, como pueden ser los personajes históricos, mitológicos, etc.",Referenciales,"Según la página 10, los personajes referenciales se identifican con referentes culturales compartidos por el espectador.","• Conectores, Anafóricos, Deícticos: se refieren a funciones lingüísticas o de cohesión textual, no a tipos de personaje."
Dentro de las funciones del espacio es «aquella que representa los estados de ánimo de los personajes».,Función expresiva/reflexiva,"La función expresiva del espacio, según la página 19, refleja el estado emocional o psicológico de los personajes.","• Función atmosférica: refiere al clima o ambientación general.
• Función descriptiva: muestra características físicas del entorno.
• Función dramática: relacionada con el conflicto o tensión narrativa."
"Tipología dentro del concepto del espacio narrativo que aporta significado en ámbitos de abstracción y simbolización, configurando espacios psicológicos, sociales, ideológicos y morales.",Hodológico,"En la página 18, el espacio hodológico es aquel que se asocia a trayectorias simbólicas o subjetivas.","• Orgámico: se refiere a la relación entre movimiento de cámara y personajes.
• Sintético y Homogéneo: términos no empleados con esta connotación en el texto."
"La estructura básica del relato, planteada por Aristóteles, puede desarrollarse de forma desordenada, comenzando, por ejemplo, a narrar por el nudo de la historia. ¿A qué tipo de estructura nos referimos?",In media res,El recurso narrativo 'in media res' (p. 7) se refiere al inicio del relato desde el medio de la historia.,"• Circular: estructura que vuelve al inicio.
• Contrapunto: alternancia de historias paralelas.
• In extrema res: comienza al final."
¿En qué consiste la teoría de la audiovisión?,La imagen y el sonido se comprenden como elementos independientes.,"Según Chion (p. 14), la teoría de la audiovisión propone analizar imagen y sonido como capas distintas y complementarias del discurso.","• Configuración del discurso: enunciado ambiguo.
• Prescindir de música: lo contrario de la teoría.
• Ninguna es correcta: incorrecto, sí existe teoría válida."
El tiempo narrativo ¿Por qué elementos está conformado?,"Orden, Frecuencia, Duración",En la página 7 se indican estos tres aspectos como los que estructuran el tiempo narrativo según Genette.,"• Historia, Discurso: son niveles narrativos, no parámetros temporales.
• Enunciación, Historia, Discurso: mezcla categorías distintas.
• Historia, Duración, Frecuencia: incorrecta combinación de niveles."
"En el relato, las relaciones entre sujeto-objeto pueden ser variadas. Cuando el sujeto no posee el objeto que desea ¿Cómo denominamos a esta relación?",Relación de disjunción,"En la página 13, se llama relación de disjunción cuando el sujeto y objeto están separados, creando el deseo de alcanzar el objeto.","• Relación de no disjunción: término inexistente.
• Relación de conjunción: se da cuando el sujeto ya tiene el objeto.
• Relación de no conjunción: impreciso, no aparece en el texto."
"Según los teóricos del cine, existen tres tipos de tiempos narrativos. ¿Cuáles son?","Tiempo de proyección, de percepción y de acción","En la página 8, se describe esta triple división temporal según Metz y Aumont.","• Tiempo de enunciación y discurso: mezcla categorías narrativas.
• Tiempo externo e interno: confusión de niveles.
• Tiempo de percepción y de discurso: incompleto."
