Pregunta,Respuesta correcta,Justificación (según el documento),Información de las opciones incorrectas
"En la actualidad, con el desarrollo de las tecnologías digitales, la televisión se caracteriza por ser:",Un medio de comunicación social interactivo,El documento señala que la televisión ha evolucionado hacia un modelo interactivo donde el espectador tiene un papel más activo.,"• En constante evolución: cierto, pero incompleto.
• Multifuncional: ambiguo y poco preciso.
• Lineal y ordenado: se asocia más a la televisión tradicional."
¿Cuál es el concepto cuya finalidad es motivar al jugador en los videojuegos?,Serious games,"Los serious games están diseñados con fines educativos o sociales, motivando al jugador mediante el juego.","• Arcade gamer, casual gamer, video gamer: se refieren a perfiles de jugador, no al concepto educativo del juego."
¿Qué obra fue la precursora de la irrupción de las tecnologías digitales en la gran pantalla?,Tron,Tron fue pionera en el uso de gráficos digitales como parte central de su estética.,"• Jurassic Park, Toy Story, Star Wars: innovadoras, pero posteriores en su uso del entorno digital."
¿Por qué se caracteriza el relato digital?,Interactividad,La narrativa digital se define por la posibilidad de que el usuario intervenga en el desarrollo del relato.,"• Estructura fija y linealidad: propias del relato tradicional.
• No linealidad: es una característica secundaria frente a la interactividad."
"¿Qué tipo de relato se caracteriza por una historia lineal, fija y con un guion preestablecido?",Multimedia,"El documento distingue el relato multimedia como un formato cerrado, no interactivo.","• Interactivos: abiertos al lector.
• Tradicionales: también pueden ser escritos, no necesariamente multimedia.
• Secuenciales: no implica falta de interactividad."
Hace referencia a la forma en el que el usuario puede acceder a la historia.,Orden,"El 'orden' se refiere a cómo el lector accede a los contenidos dentro del relato digital, pudiendo variar de forma no lineal.","• Interactividad: implica participación, no estructura de acceso.
• Espacio y estructura: categorías narrativas más amplias que no definen por sí mismas el acceso a la historia."
"Se define como «disponer de ciertas habilidades que ayuden al individuo a buscar, obtener, procesar y comunicar información con el objetivo de transformarla en conocimiento».",Alfabetización digital,"Según la página 13 del documento, esta definición corresponde literalmente al concepto de alfabetización digital.","• Alfabetización audiovisual: relacionada con el lenguaje de los medios y la imagen.
• Alfabetización informacional: centrada en el análisis crítico y búsqueda documental.
• Competencia mediática: categoría más amplia que incluye varias alfabetizaciones."
La competencia mediática está conformada por seis dimensiones. ¿Cuáles corresponden a la alfabetización digital?,Tecnología y Lenguaje,"Según la página 13 del documento, las dimensiones de tecnología y lenguaje son las que se vinculan directamente con la alfabetización digital.","• Procesos de producción y difusión: forman parte de la competencia mediática pero no se asocian directamente con la alfabetización digital.
• Procesos de recepción e interacción: más relacionadas con la alfabetización mediática.
• Dimensión estética: asociada a la alfabetización audiovisual."
¿Qué medio es el precursor del cine dentro de la narrativa audiovisual?,Cómic,El cómic se considera un antecedente directo del lenguaje cinematográfico por su secuencialidad y visualidad.,"• Televisión, prensa, videojuegos: son posteriores o diferentes en su estructura narrativa."
"Característica de la narrativa digital, relacionada con el poder de almacenamiento y conexión de información con el usuario.",Enciclopedismo,El enciclopedismo se refiere a la capacidad de acumular y vincular datos en la narrativa digital.,"• Espacialidad: alude al entorno o escenario.
• Participación: refiere al rol del usuario.
• Sucesividad: más vinculada al relato audiovisual clásico."
"En la narración digital, ¿Qué tipo de interacción es aquella en que el espectador se limita a seleccionar entre todas las opciones que se les ofrece?",Interactividad selectiva,"El espectador elige entre opciones predefinidas, sin modificar el contenido.","• Constructiva y transformativa: implican creación o modificación.
• Delimitada: término no desarrollado en el documento."
