Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Correcta (1-4)
¿Cómo se pueden definir los mecanismos de motivación en el alumnado?;Optando por un rol pasivo en el aula;Ser repetitivo en el aprendizaje;Ninguna es correcta;Buscando el compromiso y la participación;4
¿Qué principio de la narrativa transmedia está relacionado con “desmenuzar una historia”?;Múltiples entregas;Inmersión vs extracción;Expansión vs profundidad;Construcción de mundos;4
¿Cuál es la situación de la producción transmedia en España?;Las producciones transmedia españolas son las más populares en el campo;Las producciones transmedia españolas son incipientes y limitadas;Las producciones transmedia españolas son un referente mundial;Las producciones transmedia españolas son ilimitadas;2
¿Cuál es el sitio web propulsado por Joe Lambert?;Storycenter;Contar historias;Naturnia;Storybird;1
¿A qué tesis nos referimos cuando la historia ofrece diferentes puntos de vista?;Universo de la historia;Madriguera de conejo;Interactividad;Reclamar la realidad;2
¿Dónde se evalúa el modelo en la creación de un proyecto transmedia?;Especificación de medios y tecnologías;Planteamiento;Planeación;Armar la historia;2
¿De cuántos principios está compuesto el manifiesto transmedia?;13;11;15;14;2
¿Cómo podemos trabajar la narrativa digital en el aula?;A través de la motivación y la interactividad;Estableciendo roles pasivos;Educando a través de las TIC;Ninguna es correcta;1
¿Cuál es el libro más famoso escrito por Carlos Scolari?;Hipermediaciones;Transmedia archaeology;Las leyes del interfaz;Narrativas Transmedia. Cuando todos los medios cuentan;4
¿Quién es conocido como “el coleccionista de mundos”?;Sebastián Mouret;Fátima Orozco;Marta Botet;Javier Ruescas;1
¿Cuál de estas afirmaciones han sido declaradas por Ingrid Kropp?;Colaborar siempre es fácil;Las historias son importantes;La interacción no tiene cabida en la historia;Cae rápido para caer peor;2
¿Cuál es la fórmula de la narrativa transmedia?;ND+NT;CPU+ND;IM+CPU;IM+ND;3
¿En qué se caracteriza el aula transmedia?;El conocimiento es construido por todos los participantes;Aula transmisiva;El papel de los estudiantes es de observador;El docente tiene un papel pasivo;1
¿Cuáles son los formatos más utilizados para la narrativa digital?;Relato digital impersonal;Etnografía;Ninguna es correcta;Storyboard;4
¿Qué es un relato digital personal?;Documentar y compartir una experiencia personal significativa;Guion gráfico a través del uso de ilustraciones;Realización de un proyecto de investigación;Diario de clase;1
¿Qué país es pionero en la investigación transmedia?;Estados Unidos;España;Canadá;Reino Unido;1
¿En qué momento es la creación de mundos y personajes?;Planteamiento;Especificación de medios y tecnologías;Planeación;Armar la historia;4
¿Qué tesis se refiere a atraer experimentadores diferentes?;Narración basada en el lugar;Quietos e inquietos;Multipago;Carácter transmedia;2
¿Quién dijo: “la escuela no se ha adaptado a la realidad digital”?;Henry Jenkins;Carlos Scolari;Manuel Castells;Joe Lambert;2
¿Qué serie española es referente como proyecto transmedia?;Amar en tiempos revueltos;Vis a vis;La verdad;El ministerio del tiempo;4
